$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37780.917,   12.10
 37780.960,   12.07
 37781.000,   12.05
 37781.043,   12.08
 37781.085,   12.18
 37781.125,   12.25
 37781.167,   12.26
 37781.210,   12.28
 37781.250,   12.31
 37781.293,   12.26
 37781.336,   12.21
 37781.377,   12.21
 37781.417,   12.20
 37781.459,   12.19
 37781.500,   12.24
 37781.544,   12.45
 37781.584,   12.53
 37781.627,   12.51
 37781.668,   12.49
 37781.710,   12.48
 37781.750,   12.42
 37781.792,   12.37
 37781.836,   12.35
 37781.876,   12.41
 37781.919,   12.47
 37781.960,   12.47
 37782.000,   12.49
 37782.043,   12.53
 37782.085,   12.54
 37782.127,   12.45
 37782.168,   12.36
 37782.209,   12.31
 37782.250,   12.28
 37782.293,   12.31
 37782.335,   12.40
 37782.377,   12.59
 37782.418,   12.58
 37782.459,   12.58
 37782.500,   12.58
 37782.544,   12.58
 37782.584,   12.61
 37782.627,   12.82
 37782.667,   12.87
 37782.710,   12.87
 37782.750,   12.89
 37782.794,   12.98
 37782.834,   13.01
 37782.875,   12.98
 37782.918,   12.97
 37782.959,   12.97
 37783.000,   12.91
 37783.043,   12.87
 37783.086,   12.97
 37783.128,   12.99
 37783.168,   12.86
 37783.210,   12.76
 37783.250,   12.82
 37783.293,   12.80
 37783.334,   12.67
 37783.377,   12.79
 37783.419,   12.88
 37783.460,   12.93
 37783.500,   12.96
 37783.542,   13.12
 37783.585,   13.15
 37783.626,   13.07
 37783.669,   13.14
 37783.709,   13.20
 37783.751,   13.10
 37783.793,   13.07
 37783.836,   13.20
 37783.876,   13.23
 37783.919,   13.16
 37783.960,   13.22
 37784.003,   13.29
 37784.043,   13.24
 37784.086,   13.20
 37784.125,   13.17
 37784.167,   13.19
 37784.210,   13.08
 37784.252,   13.03
 37784.292,   13.17
 37784.334,   13.20
 37784.377,   13.27
 37784.419,   13.45
 37784.460,   13.55
 37784.503,   13.49
 37784.544,   13.46
 37784.585,   13.45
 37784.627,   13.30
 37784.667,   13.16
 37784.709,   13.12
 37784.750,   13.16
 37784.793,   13.15
 37784.836,   13.16
 37784.876,   13.26
 37784.918,   13.30
 37784.961,   13.28
 37785.003,   13.34
 37785.043,   13.37
 37785.086,   13.42
 37785.126,   13.49
 37785.170,   13.53
 37785.209,   13.49
 37785.253,   13.44
 37785.293,   13.25
