 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37799.042,   1,  0.35378270E+09,   0.00000000E+00,  -0.40149047E+09,   0.00000000E+00,   0.00000000E+00,  -0.54067754E+07,   0.00000000E+00,   0.00000000E+00,   0.48786225E-10,
 37800.042,   1,  0.35949783E+09,   0.00000000E+00,  -0.41238853E+09,   0.00000000E+00,   0.00000000E+00,  -0.55553179E+07,   0.00000000E+00,   0.00000000E+00,   0.37197479E-10,
 37801.046,   1,  0.36515328E+09,   0.00000000E+00,  -0.42251289E+09,   0.00000000E+00,   0.00000000E+00,  -0.57132771E+07,   0.00000000E+00,   0.00000000E+00,   0.35200600E-10,
 37802.042,   1,  0.37123327E+09,   0.00000000E+00,  -0.43217978E+09,   0.00000000E+00,   0.00000000E+00,  -0.58854167E+07,   0.00000000E+00,   0.00000000E+00,   0.35406231E-10,
 37803.045,   1,  0.37839272E+09,   0.00000000E+00,  -0.44319670E+09,   0.00000000E+00,   0.00000000E+00,  -0.60470032E+07,   0.00000000E+00,   0.00000000E+00,   0.31988461E-10,
 37804.044,   1,  0.38666999E+09,   0.00000000E+00,  -0.45553458E+09,   0.00000000E+00,   0.00000000E+00,  -0.61755322E+07,   0.00000000E+00,   0.00000000E+00,   0.30560271E-10,
 37805.044,   1,  0.39405953E+09,   0.00000000E+00,  -0.46831056E+09,   0.00000000E+00,   0.00000000E+00,  -0.63111193E+07,   0.00000000E+00,   0.00000000E+00,   0.30277750E-10,
 37806.045,   1,  0.40064164E+09,   0.00000000E+00,  -0.48084726E+09,   0.00000000E+00,   0.00000000E+00,  -0.64927195E+07,   0.00000000E+00,   0.00000000E+00,   0.34545817E-10,
 37807.044,   1,  0.40749848E+09,   0.00000000E+00,  -0.49250677E+09,   0.00000000E+00,   0.00000000E+00,  -0.66766090E+07,   0.00000000E+00,   0.00000000E+00,   0.32407060E-10,
 37808.045,   1,  0.41505510E+09,   0.00000000E+00,  -0.50305948E+09,   0.00000000E+00,   0.00000000E+00,  -0.68498333E+07,   0.00000000E+00,   0.00000000E+00,   0.29737908E-10,
 37809.045,   1,  0.42310869E+09,   0.00000000E+00,  -0.51369547E+09,   0.00000000E+00,   0.00000000E+00,  -0.70304313E+07,   0.00000000E+00,   0.00000000E+00,   0.27323782E-10,
 37810.044,   1,  0.43050168E+09,   0.00000000E+00,  -0.52571459E+09,   0.00000000E+00,   0.00000000E+00,  -0.72135701E+07,   0.00000000E+00,   0.00000000E+00,   0.25967938E-10,
 37811.045,   1,  0.43632960E+09,   0.00000000E+00,  -0.53761084E+09,   0.00000000E+00,   0.00000000E+00,  -0.61198058E+06,   0.00000000E+00,   0.00000000E+00,   0.23969764E-10,
 37812.044,   1,  0.44171895E+09,   0.00000000E+00,  -0.55020783E+09,   0.00000000E+00,   0.00000000E+00,  -0.33409196E+07,   0.00000000E+00,   0.00000000E+00,   0.21491346E-10,
 37813.043,   1,  0.44665918E+09,   0.00000000E+00,  -0.56396112E+09,   0.00000000E+00,   0.00000000E+00,  -0.10327787E+08,   0.00000000E+00,   0.00000000E+00,   0.20314603E-10,
 37814.043,   1,  0.45087993E+09,   0.00000000E+00,  -0.57693096E+09,   0.00000000E+00,   0.00000000E+00,  -0.10462026E+08,   0.00000000E+00,   0.00000000E+00,   0.21394137E-10,
 37815.043,   1,  0.45533904E+09,   0.00000000E+00,  -0.58834273E+09,   0.00000000E+00,   0.00000000E+00,  -0.10603752E+08,   0.00000000E+00,   0.00000000E+00,   0.19050708E-10,
 37816.044,   1,  0.46017768E+09,   0.00000000E+00,  -0.59903279E+09,   0.00000000E+00,   0.00000000E+00,  -0.10749371E+08,   0.00000000E+00,   0.00000000E+00,   0.16374631E-10,
 37817.044,   1,  0.46551159E+09,   0.00000000E+00,  -0.61048434E+09,   0.00000000E+00,   0.00000000E+00,  -0.10904231E+08,   0.00000000E+00,   0.00000000E+00,   0.14950969E-10,
 37818.046,   1,  0.47027786E+09,   0.00000000E+00,  -0.62292984E+09,   0.00000000E+00,   0.00000000E+00,  -0.11053307E+08,   0.00000000E+00,   0.00000000E+00,   0.14163066E-10,
 37819.042,   1,  0.47409977E+09,   0.00000000E+00,  -0.63567605E+09,   0.00000000E+00,   0.00000000E+00,  -0.11198953E+08,   0.00000000E+00,   0.00000000E+00,   0.13247297E-10,
 37820.043,   1,  0.47834394E+09,   0.00000000E+00,  -0.64869036E+09,   0.00000000E+00,   0.00000000E+00,  -0.11339357E+08,   0.00000000E+00,   0.00000000E+00,   0.12236686E-10,
 37821.043,   1,  0.48296921E+09,   0.00000000E+00,  -0.66077358E+09,   0.00000000E+00,   0.00000000E+00,  -0.11480441E+08,   0.00000000E+00,   0.00000000E+00,   0.11178643E-10,
 37822.043,   1,  0.48748827E+09,   0.00000000E+00,  -0.67072704E+09,   0.00000000E+00,   0.00000000E+00,  -0.11620952E+08,   0.00000000E+00,   0.00000000E+00,   0.11103598E-10,
 37823.044,   1,  0.49169907E+09,   0.00000000E+00,  -0.67975144E+09,   0.00000000E+00,   0.00000000E+00,  -0.11762913E+08,   0.00000000E+00,   0.00000000E+00,   0.98885128E-11,
 37824.044,   1,  0.49607310E+09,   0.00000000E+00,  -0.68935637E+09,   0.00000000E+00,   0.00000000E+00,  -0.11905093E+08,   0.00000000E+00,   0.00000000E+00,   0.73347457E-11,
 37825.044,   1,  0.50111112E+09,   0.00000000E+00,  -0.69951405E+09,   0.00000000E+00,   0.00000000E+00,  -0.12050916E+08,   0.00000000E+00,   0.00000000E+00,   0.81991388E-11,
 37826.044,   1,  0.50681213E+09,   0.00000000E+00,  -0.71000331E+09,   0.00000000E+00,   0.00000000E+00,  -0.12198505E+08,   0.00000000E+00,   0.00000000E+00,   0.76653497E-11,
 37827.043,   1,  0.51258704E+09,   0.00000000E+00,  -0.72060258E+09,   0.00000000E+00,   0.00000000E+00,  -0.12354039E+08,   0.00000000E+00,   0.00000000E+00,   0.64237666E-11,
 37828.043,   1,  0.51753605E+09,   0.00000000E+00,  -0.73005214E+09,   0.00000000E+00,   0.00000000E+00,  -0.12513301E+08,   0.00000000E+00,   0.00000000E+00,   0.58801976E-11,
 37829.043,   1,  0.52183428E+09,   0.00000000E+00,  -0.73772168E+09,   0.00000000E+00,   0.00000000E+00,  -0.12648660E+08,   0.00000000E+00,   0.00000000E+00,   0.63246381E-11,
 37830.044,   1,  0.52551209E+09,   0.00000000E+00,  -0.74502890E+09,   0.00000000E+00,   0.00000000E+00,  -0.12753004E+08,   0.00000000E+00,   0.00000000E+00,   0.66078777E-11,
 37831.043,   1,  0.52900969E+09,   0.00000000E+00,  -0.75353780E+09,   0.00000000E+00,   0.00000000E+00,  -0.12861852E+08,   0.00000000E+00,   0.00000000E+00,   0.10043282E-10,
 37832.043,   1,  0.53266055E+09,   0.00000000E+00,  -0.76328284E+09,   0.00000000E+00,   0.00000000E+00,  -0.12981683E+08,   0.00000000E+00,   0.00000000E+00,   0.11132791E-10,
 37833.043,   1,  0.53681837E+09,   0.00000000E+00,  -0.77306263E+09,   0.00000000E+00,   0.00000000E+00,  -0.13112171E+08,   0.00000000E+00,   0.00000000E+00,   0.11521407E-10,
 37834.044,   1,  0.54164481E+09,   0.00000000E+00,  -0.78224424E+09,   0.00000000E+00,   0.00000000E+00,  -0.13246776E+08,   0.00000000E+00,   0.00000000E+00,   0.15109693E-10,
 37835.044,   1,  0.54672005E+09,   0.00000000E+00,  -0.79068825E+09,   0.00000000E+00,   0.00000000E+00,  -0.13342147E+08,   0.00000000E+00,   0.00000000E+00,   0.16550978E-10,
 37836.044,   1,  0.55113991E+09,   0.00000000E+00,  -0.79823374E+09,   0.00000000E+00,   0.00000000E+00,  -0.13438561E+08,   0.00000000E+00,   0.00000000E+00,   0.17501626E-10,
 37837.044,   1,  0.55507118E+09,   0.00000000E+00,  -0.80523848E+09,   0.00000000E+00,   0.00000000E+00,  -0.13562082E+08,   0.00000000E+00,   0.00000000E+00,   0.16159431E-10,
 37838.044,   1,  0.55957888E+09,   0.00000000E+00,  -0.81291278E+09,   0.00000000E+00,   0.00000000E+00,  -0.13697904E+08,   0.00000000E+00,   0.00000000E+00,   0.15647095E-10,
 37839.044,   1,  0.56416066E+09,   0.00000000E+00,  -0.82153546E+09,   0.00000000E+00,   0.00000000E+00,  -0.13832021E+08,   0.00000000E+00,   0.00000000E+00,   0.17076482E-10,
 37840.044,   1,  0.56895589E+09,   0.00000000E+00,  -0.83044340E+09,   0.00000000E+00,   0.00000000E+00,  -0.13968021E+08,   0.00000000E+00,   0.00000000E+00,   0.15103674E-10,
 37841.044,   1,  0.57459355E+09,   0.00000000E+00,  -0.83899929E+09,   0.00000000E+00,   0.00000000E+00,  -0.14115593E+08,   0.00000000E+00,   0.00000000E+00,   0.14787634E-10,
 37842.044,   1,  0.58051605E+09,   0.00000000E+00,  -0.84666206E+09,   0.00000000E+00,   0.00000000E+00,  -0.14260198E+08,   0.00000000E+00,   0.00000000E+00,   0.14858306E-10,
 37843.044,   1,  0.58719772E+09,   0.00000000E+00,  -0.85308416E+09,   0.00000000E+00,   0.00000000E+00,  -0.14394092E+08,   0.00000000E+00,   0.00000000E+00,   0.14567268E-10,
 37844.045,   1,  0.59396844E+09,   0.00000000E+00,  -0.85916813E+09,   0.00000000E+00,   0.00000000E+00,  -0.14516922E+08,   0.00000000E+00,   0.00000000E+00,   0.15342434E-10,
 37845.044,   1,  0.60009306E+09,   0.00000000E+00,  -0.86601060E+09,   0.00000000E+00,   0.00000000E+00,  -0.14639557E+08,   0.00000000E+00,   0.00000000E+00,   0.14701592E-10,
 37846.045,   1,  0.60607215E+09,   0.00000000E+00,  -0.87327022E+09,   0.00000000E+00,   0.00000000E+00,  -0.14757553E+08,   0.00000000E+00,   0.00000000E+00,   0.14966900E-10,
 37847.044,   1,  0.61123318E+09,   0.00000000E+00,  -0.88047165E+09,   0.00000000E+00,   0.00000000E+00,  -0.14869085E+08,   0.00000000E+00,   0.00000000E+00,   0.17832614E-10,
 37848.043,   1,  0.61523845E+09,   0.00000000E+00,  -0.88771509E+09,   0.00000000E+00,   0.00000000E+00,  -0.14991016E+08,   0.00000000E+00,   0.00000000E+00,   0.17935190E-10,
 37849.046,   1,  0.61996115E+09,   0.00000000E+00,  -0.89475118E+09,   0.00000000E+00,   0.00000000E+00,  -0.15123570E+08,   0.00000000E+00,   0.00000000E+00,   0.18338997E-10,
 37850.046,   1,  0.62528705E+09,   0.00000000E+00,  -0.90093896E+09,   0.00000000E+00,   0.00000000E+00,  -0.15237703E+08,   0.00000000E+00,   0.00000000E+00,   0.18113557E-10,
 37851.045,   1,  0.63030912E+09,   0.00000000E+00,  -0.90660862E+09,   0.00000000E+00,   0.00000000E+00,  -0.15336459E+08,   0.00000000E+00,   0.00000000E+00,   0.18373780E-10,
 37852.044,   1,  0.63611580E+09,   0.00000000E+00,  -0.91296951E+09,   0.00000000E+00,   0.00000000E+00,  -0.15395556E+08,   0.00000000E+00,   0.00000000E+00,   0.18029293E-10,
 37853.045,   1,  0.64241634E+09,   0.00000000E+00,  -0.92024832E+09,   0.00000000E+00,   0.00000000E+00,  -0.15393895E+08,   0.00000000E+00,   0.00000000E+00,   0.16952864E-10,
 37854.045,   1,  0.64856763E+09,   0.00000000E+00,  -0.92773086E+09,   0.00000000E+00,   0.00000000E+00,  -0.15449874E+08,   0.00000000E+00,   0.00000000E+00,   0.17378831E-10,
 37855.046,   1,  0.65467548E+09,   0.00000000E+00,  -0.93510297E+09,   0.00000000E+00,   0.00000000E+00,  -0.15569901E+08,   0.00000000E+00,   0.00000000E+00,   0.17076045E-10,
 37856.045,   1,  0.65984678E+09,   0.00000000E+00,  -0.94187442E+09,   0.00000000E+00,   0.00000000E+00,  -0.15664166E+08,   0.00000000E+00,   0.00000000E+00,   0.16518336E-10,
 37857.044,   1,  0.66447395E+09,   0.00000000E+00,  -0.94783383E+09,   0.00000000E+00,   0.00000000E+00,  -0.15741140E+08,   0.00000000E+00,   0.00000000E+00,   0.16022044E-10,
 37858.044,   1,  0.66901615E+09,   0.00000000E+00,  -0.95359516E+09,   0.00000000E+00,   0.00000000E+00,  -0.15819189E+08,   0.00000000E+00,   0.00000000E+00,   0.11805901E-10,
 37859.043,   1,  0.67378027E+09,   0.00000000E+00,  -0.95986255E+09,   0.00000000E+00,   0.00000000E+00,  -0.15904724E+08,   0.00000000E+00,   0.00000000E+00,   0.12276705E-10,
 37860.045,   1,  0.67873294E+09,   0.00000000E+00,  -0.96636839E+09,   0.00000000E+00,   0.00000000E+00,  -0.16012251E+08,   0.00000000E+00,   0.00000000E+00,   0.10384009E-10,
 37861.046,   1,  0.68365186E+09,   0.00000000E+00,  -0.97257498E+09,   0.00000000E+00,   0.00000000E+00,  -0.16121292E+08,   0.00000000E+00,   0.00000000E+00,   0.12446747E-10,
 37862.045,   1,  0.68863289E+09,   0.00000000E+00,  -0.97853723E+09,   0.00000000E+00,   0.00000000E+00,  -0.16229044E+08,   0.00000000E+00,   0.00000000E+00,   0.11448439E-10,
 37863.045,   1,  0.69315673E+09,   0.00000000E+00,  -0.98408108E+09,   0.00000000E+00,   0.00000000E+00,  -0.16344352E+08,   0.00000000E+00,   0.00000000E+00,   0.10998774E-10,
 37864.046,   1,  0.69742278E+09,   0.00000000E+00,  -0.98894978E+09,   0.00000000E+00,   0.00000000E+00,  -0.16444607E+08,   0.00000000E+00,   0.00000000E+00,   0.12251041E-10,
 37865.046,   1,  0.70182079E+09,   0.00000000E+00,  -0.99356720E+09,   0.00000000E+00,   0.00000000E+00,  -0.16528543E+08,   0.00000000E+00,   0.00000000E+00,   0.11774950E-10,
 37866.046,   1,  0.70631800E+09,   0.00000000E+00,  -0.99845267E+09,   0.00000000E+00,   0.00000000E+00,  -0.16617258E+08,   0.00000000E+00,   0.00000000E+00,   0.12335903E-10,
 37867.045,   1,  0.71087901E+09,   0.00000000E+00,  -0.10034816E+10,   0.00000000E+00,   0.00000000E+00,  -0.16708498E+08,   0.00000000E+00,   0.00000000E+00,   0.14221349E-10,
 37868.044,   1,  0.71634018E+09,   0.00000000E+00,  -0.10086736E+10,   0.00000000E+00,   0.00000000E+00,  -0.16799208E+08,   0.00000000E+00,   0.00000000E+00,   0.14345256E-10,
 37869.044,   1,  0.72219708E+09,   0.00000000E+00,  -0.10139560E+10,   0.00000000E+00,   0.00000000E+00,  -0.16912502E+08,   0.00000000E+00,   0.00000000E+00,   0.17514233E-10,
 37870.044,   1,  0.72829484E+09,   0.00000000E+00,  -0.10189105E+10,   0.00000000E+00,   0.00000000E+00,  -0.17019305E+08,   0.00000000E+00,   0.00000000E+00,   0.16740125E-10,
 37871.044,   1,  0.73507130E+09,   0.00000000E+00,  -0.10233377E+10,   0.00000000E+00,   0.00000000E+00,  -0.17119851E+08,   0.00000000E+00,   0.00000000E+00,   0.18678569E-10,
 37872.042,   1,  0.74235090E+09,   0.00000000E+00,  -0.10273506E+10,   0.00000000E+00,   0.00000000E+00,  -0.17251421E+08,   0.00000000E+00,   0.00000000E+00,   0.17827126E-10,
 37873.043,   1,  0.74941077E+09,   0.00000000E+00,  -0.10317474E+10,   0.00000000E+00,   0.00000000E+00,  -0.17359818E+08,   0.00000000E+00,   0.00000000E+00,   0.18197846E-10,
 37874.042,   1,  0.75491511E+09,   0.00000000E+00,  -0.10376628E+10,   0.00000000E+00,   0.00000000E+00,  -0.17447181E+08,   0.00000000E+00,   0.00000000E+00,   0.19319200E-10,
 37875.047,   1,  0.75869714E+09,   0.00000000E+00,  -0.10439648E+10,   0.00000000E+00,   0.00000000E+00,  -0.17536455E+08,   0.00000000E+00,   0.00000000E+00,   0.19920362E-10,
 37876.046,   1,  0.76168933E+09,   0.00000000E+00,  -0.10491246E+10,   0.00000000E+00,   0.00000000E+00,  -0.17618685E+08,   0.00000000E+00,   0.00000000E+00,   0.21297516E-10,
 37877.047,   1,  0.76456377E+09,   0.00000000E+00,  -0.10534309E+10,   0.00000000E+00,   0.00000000E+00,  -0.17699746E+08,   0.00000000E+00,   0.00000000E+00,   0.20939669E-10,
 37878.044,   1,  0.76757363E+09,   0.00000000E+00,  -0.10567746E+10,   0.00000000E+00,   0.00000000E+00,  -0.17776100E+08,   0.00000000E+00,   0.00000000E+00,   0.20542812E-10,
 37879.043,   1,  0.77070683E+09,   0.00000000E+00,  -0.10596329E+10,   0.00000000E+00,   0.00000000E+00,  -0.17858526E+08,   0.00000000E+00,   0.00000000E+00,   0.21993434E-10,
 37880.043,   1,  0.77354784E+09,   0.00000000E+00,  -0.10630944E+10,   0.00000000E+00,   0.00000000E+00,  -0.17926067E+08,   0.00000000E+00,   0.00000000E+00,   0.22603297E-10,
 37881.043,   1,  0.77660760E+09,   0.00000000E+00,  -0.10672566E+10,   0.00000000E+00,   0.00000000E+00,  -0.18021296E+08,   0.00000000E+00,   0.00000000E+00,   0.22728009E-10,
 37882.045,   1,  0.77979821E+09,   0.00000000E+00,  -0.10717929E+10,   0.00000000E+00,   0.00000000E+00,  -0.18099665E+08,   0.00000000E+00,   0.00000000E+00,   0.23430909E-10,
 37883.044,   1,  0.78295154E+09,   0.00000000E+00,  -0.10775962E+10,   0.00000000E+00,   0.00000000E+00,  -0.17082175E+08,   0.00000000E+00,   0.00000000E+00,   0.23920078E-10,
 37884.042,   1,  0.78633555E+09,   0.00000000E+00,  -0.10828184E+10,   0.00000000E+00,   0.00000000E+00,  -0.16254756E+08,   0.00000000E+00,   0.00000000E+00,   0.25424694E-10,
 37885.043,   1,  0.78999602E+09,   0.00000000E+00,  -0.10864779E+10,   0.00000000E+00,   0.00000000E+00,  -0.16316588E+08,   0.00000000E+00,   0.00000000E+00,   0.25553148E-10,
 37886.046,   1,  0.79382862E+09,   0.00000000E+00,  -0.10897660E+10,   0.00000000E+00,   0.00000000E+00,  -0.16391073E+08,   0.00000000E+00,   0.00000000E+00,   0.22175579E-10,
 37887.044,   1,  0.79756061E+09,   0.00000000E+00,  -0.10933427E+10,   0.00000000E+00,   0.00000000E+00,  -0.16467870E+08,   0.00000000E+00,   0.00000000E+00,   0.21875708E-10,
 37888.046,   1,  0.80118937E+09,   0.00000000E+00,  -0.10975778E+10,   0.00000000E+00,   0.00000000E+00,  -0.16556232E+08,   0.00000000E+00,   0.00000000E+00,   0.21731903E-10,
 37889.043,   1,  0.80517641E+09,   0.00000000E+00,  -0.11020764E+10,   0.00000000E+00,   0.00000000E+00,  -0.16671414E+08,   0.00000000E+00,   0.00000000E+00,   0.22049641E-10,
 37890.044,   1,  0.80907056E+09,   0.00000000E+00,  -0.11068018E+10,   0.00000000E+00,   0.00000000E+00,  -0.16766757E+08,   0.00000000E+00,   0.00000000E+00,   0.22174177E-10,
 37891.044,   1,  0.81208759E+09,   0.00000000E+00,  -0.11112951E+10,   0.00000000E+00,   0.00000000E+00,  -0.16848108E+08,   0.00000000E+00,   0.00000000E+00,   0.18764592E-10,
 37892.043,   1,  0.81495397E+09,   0.00000000E+00,  -0.11150303E+10,   0.00000000E+00,   0.00000000E+00,  -0.16934370E+08,   0.00000000E+00,   0.00000000E+00,   0.19196930E-10,
 37893.045,   1,  0.81787008E+09,   0.00000000E+00,  -0.11183125E+10,   0.00000000E+00,   0.00000000E+00,  -0.17015412E+08,   0.00000000E+00,   0.00000000E+00,   0.18512737E-10,
 37894.046,   1,  0.82043639E+09,   0.00000000E+00,  -0.11220750E+10,   0.00000000E+00,   0.00000000E+00,  -0.17091208E+08,   0.00000000E+00,   0.00000000E+00,   0.20084486E-10,
 37895.043,   1,  0.82337473E+09,   0.00000000E+00,  -0.11265575E+10,   0.00000000E+00,   0.00000000E+00,  -0.17170456E+08,   0.00000000E+00,   0.00000000E+00,   0.21954963E-10,
 37896.044,   1,  0.82670125E+09,   0.00000000E+00,  -0.11314704E+10,   0.00000000E+00,   0.00000000E+00,  -0.17261794E+08,   0.00000000E+00,   0.00000000E+00,   0.19804581E-10,
 37897.042,   1,  0.82961952E+09,   0.00000000E+00,  -0.11364641E+10,   0.00000000E+00,   0.00000000E+00,  -0.17356833E+08,   0.00000000E+00,   0.00000000E+00,   0.20389018E-10,
 37898.042,   1,  0.83228316E+09,   0.00000000E+00,  -0.11413420E+10,   0.00000000E+00,   0.00000000E+00,  -0.17460315E+08,   0.00000000E+00,   0.00000000E+00,   0.18035493E-10,
 37899.045,   1,  0.83488653E+09,   0.00000000E+00,  -0.11456293E+10,   0.00000000E+00,   0.00000000E+00,  -0.17557780E+08,   0.00000000E+00,   0.00000000E+00,   0.15268766E-10,
 37900.044,   1,  0.83745896E+09,   0.00000000E+00,  -0.11494143E+10,   0.00000000E+00,   0.00000000E+00,  -0.17635174E+08,   0.00000000E+00,   0.00000000E+00,   0.17342976E-10,
 37901.044,   1,  0.84080766E+09,   0.00000000E+00,  -0.11534865E+10,   0.00000000E+00,   0.00000000E+00,  -0.17709749E+08,   0.00000000E+00,   0.00000000E+00,   0.16850072E-10,
 37902.044,   1,  0.84463838E+09,   0.00000000E+00,  -0.11580836E+10,   0.00000000E+00,   0.00000000E+00,  -0.17786990E+08,   0.00000000E+00,   0.00000000E+00,   0.17329002E-10,
 37903.044,   1,  0.84747287E+09,   0.00000000E+00,  -0.11630022E+10,   0.00000000E+00,   0.00000000E+00,  -0.17867338E+08,   0.00000000E+00,   0.00000000E+00,   0.14105708E-10,
