,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/4/2023 12:00,37259.5,19.44,3.92,5.81,29.19,9.86,126
1/4/2023 13:00,37259.55,18.33,4.43,5.81,29.17,10,112
1/4/2023 14:00,37259.59,17.78,4.96,5.81,29.13,10,80
1/4/2023 15:00,37259.63,18.33,4.43,4.92,29.1,10,73
1/4/2023 16:00,37259.67,18.89,3.02,7.15,29.1,10,33
1/4/2023 17:00,37259.71,18.33,3.32,8.05,29.08,10,0
1/4/2023 18:00,37259.76,19.44,5.06,7.15,29.08,10,0
1/4/2023 19:00,37259.8,13.89,9.29,3.58,29.12,10,0
1/4/2023 20:00,37259.84,13.89,9.89,1.79,29.13,10,0
1/4/2023 21:00,37259.88,15,9.31,3.13,29.15,10,0
1/4/2023 22:00,37259.92,12.78,9.19,2.68,29.18,10,0
1/4/2023 23:00,37259.97,12.22,9.39,3.13,29.18,10,0
1/5/2023 0:00,37260,12.22,8.07,2.68,29.14,10,0
1/5/2023 1:00,37260.04,11.67,8.67,8.05,29.12,10,0
1/5/2023 2:00,37260.08,12.22,9.02,8.05,29.11,10,0
1/5/2023 3:00,37260.13,12.78,8.61,7.6,29.08,10,0
1/5/2023 4:00,37260.17,13.89,7.59,4.02,29.09,10,0
1/5/2023 5:00,37260.21,11.11,8.3,2.68,29.12,10,0
1/5/2023 6:00,37260.25,10.56,8.29,3.58,29.15,10,0
1/5/2023 7:00,37260.29,11.11,8.12,5.36,29.15,10,21
1/5/2023 8:00,37260.34,11.67,7.54,8.05,29.17,10,90
1/5/2023 9:00,37260.38,12.22,7.48,7.15,29.19,10,357
1/5/2023 10:00,37260.42,14.44,8.78,9.83,29.21,10,431
1/5/2023 11:00,37260.46,13.89,8.46,8.49,29.23,10,414
1/5/2023 12:00,37260.5,14.44,7.66,2.68,29.22,10,131
1/5/2023 13:00,37260.55,13.89,7.59,1.79,29.2,10,155
1/5/2023 14:00,37260.59,11.67,8.3,4.47,29.21,10,88
1/5/2023 15:00,37260.63,12.22,8.84,4.92,29.22,10,26
1/5/2023 16:00,37260.67,10.56,7.21,3.13,29.28,9.73,14
1/5/2023 17:00,37260.71,10,6.49,2.24,29.31,9.46,0
1/5/2023 18:00,37260.76,10,6.85,2.24,29.36,9.2,0
1/5/2023 19:00,37260.8,8.89,6.99,0.89,29.4,8.93,0
1/5/2023 20:00,37260.84,9.44,7.53,3.13,29.43,8.66,0
1/5/2023 21:00,37260.88,9.44,6.67,1.79,29.47,8.39,0
1/5/2023 22:00,37260.92,8.89,6.3,1.79,29.49,8.13,0
1/5/2023 23:00,37260.97,8.89,6.3,1.79,29.5,7.86,0
1/6/2023 0:00,37261,8.89,5.95,3.13,29.5,7.59,0
1/6/2023 1:00,37261.04,8.33,5.58,2.24,29.5,7.32,0
1/6/2023 2:00,37261.08,7.78,5.21,3.58,29.52,7.06,0
1/6/2023 3:00,37261.13,7.22,4.84,3.13,29.53,6.79,0
1/6/2023 4:00,37261.17,7.22,4.32,4.47,29.51,6.52,0
