,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/4/2022 10:00,36894.42,10,3.88,0.89,2.48,7.04,239
1/4/2022 11:00,36894.46,11.11,4.26,0.89,4.26,7.19,253
1/4/2022 12:00,36894.5,13.89,5.44,1.79,5.76,7.34,340
1/4/2022 13:00,36894.55,15,6.74,1.34,4.29,3.91,425
1/4/2022 14:00,36894.59,14.44,4.63,0.45,4.99,4.47,324
1/4/2022 15:00,36894.63,12.78,3.36,0.45,0.49,4.45,187
1/4/2022 16:00,36894.67,10,1.79,0.89,4.33,4.43,51
1/4/2022 17:00,36894.71,7.78,0.88,0.45,0.33,4.4,2
1/4/2022 18:00,36894.76,7.78,1.1,1.34,0.47,4.38,1
1/4/2022 19:00,36894.8,7.78,1.97,1.34,1.08,4.36,1
1/4/2022 20:00,36894.84,6.67,1.72,2.68,1.47,4.33,1
1/4/2022 21:00,36894.88,6.67,1.72,1.79,2.09,4.31,2
1/4/2022 22:00,36894.92,5.56,1.42,2.24,1.52,4.29,2
1/4/2022 23:00,36894.97,3.89,-0.76,3.58,1.59,5.39,3
1/5/2022 0:00,36895,5,1.26,3.13,1.64,4.24,2
1/5/2022 1:00,36895.04,5,1.26,3.58,1.55,4.21,2
1/5/2022 2:00,36895.08,5,1.07,3.13,1.62,4.19,2
1/5/2022 3:00,36895.13,5.56,1.79,3.13,1.55,4.17,2
1/5/2022 4:00,36895.17,5.56,1.61,3.13,1.4,4.14,2
1/5/2022 5:00,36895.21,4.44,0.53,4.02,1.4,4.12,2
1/5/2022 6:00,36895.25,4.44,0.53,3.13,1.4,4.1,2
1/5/2022 7:00,36895.29,4.44,0.35,2.24,1.55,4.07,31
1/5/2022 8:00,36895.34,6.67,2.11,0.45,0.37,4.05,189
1/5/2022 9:00,36895.38,9.44,4.19,0.89,4.47,4.03,324
1/5/2022 10:00,36895.42,14.44,7.66,0.45,6.06,4,429
1/5/2022 11:00,36895.46,11.67,4.56,1.34,0.7,3.98,490
