$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37781.919,    9.04
 37781.959,    9.04
 37782.000,    9.04
 37782.043,    9.04
 37782.085,    9.03
 37782.126,    9.04
 37782.169,    9.04
 37782.210,    9.05
 37782.250,    9.05
 37782.293,    9.06
 37782.336,    9.06
 37782.378,    9.06
 37782.418,    9.06
 37782.459,    9.06
 37782.500,    9.06
 37782.543,    9.06
 37782.585,    9.06
 37782.626,    9.07
 37782.667,    9.07
 37782.710,    9.07
 37782.751,    9.05
 37782.794,    9.05
 37782.834,    9.04
 37782.875,    9.03
 37782.920,    9.03
 37782.958,    9.04
 37783.000,    9.05
 37783.043,    9.05
 37783.086,    9.06
 37783.125,    9.07
 37783.169,    9.07
 37783.209,    9.07
 37783.250,    9.08
 37783.293,    9.09
 37783.335,    9.08
 37783.376,    9.08
 37783.419,    9.09
 37783.460,    9.09
 37783.500,    9.09
 37783.542,    9.08
 37783.584,    9.07
 37783.626,    9.06
 37783.667,    9.05
 37783.709,    9.04
 37783.753,    9.05
 37783.793,    9.05
 37783.834,    9.06
 37783.876,    9.06
 37783.919,    9.07
 37783.960,    9.07
 37784.000,    9.07
 37784.043,    9.08
 37784.086,    9.08
 37784.126,    9.08
 37784.168,    9.08
 37784.210,    9.09
 37784.250,    9.09
 37784.293,    9.09
 37784.336,    9.08
 37784.378,    9.08
 37784.417,    9.07
 37784.460,    9.07
 37784.500,    9.07
 37784.543,    9.07
 37784.586,    9.06
 37784.626,    9.07
 37784.667,    9.07
 37784.708,    9.06
 37784.750,    9.06
 37784.792,    9.06
 37784.835,    9.06
 37784.878,    9.05
 37784.918,    9.06
 37784.960,    9.07
 37785.003,    9.06
 37785.043,    9.06
 37785.085,    9.07
 37785.128,    9.06
 37785.169,    9.06
 37785.209,    9.05
 37785.253,    9.05
 37785.293,    9.04
 37785.336,    9.04
 37785.377,    9.04
 37785.418,    9.04
 37785.460,    9.03
 37785.503,    9.03
 37785.543,    9.03
 37785.585,    9.04
 37785.627,    9.04
 37785.667,    9.04
 37785.710,    9.04
 37785.751,    9.05
 37785.794,    9.05
 37785.834,    9.06
 37785.876,    9.08
 37785.918,    9.08
 37785.959,    9.09
 37786.003,    9.10
 37786.043,    9.10
 37786.087,    9.10
 37786.126,    9.11
