$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,T(C)
 37770.042,   10.92
 37770.084,   10.92
 37770.126,   10.91
 37770.167,   10.91
 37770.209,   10.90
 37770.250,   10.90
 37770.292,   10.90
 37770.333,   10.90
 37770.377,   10.90
 37770.417,   10.89
 37770.459,   10.90
 37770.500,   10.91
 37770.543,   10.92
 37770.584,   10.93
 37770.627,   10.94
 37770.669,   10.95
 37770.709,   10.95
 37770.751,   10.95
 37770.792,   10.94
 37770.834,   10.96
 37770.877,   10.99
 37770.919,   11.01
 37770.959,   11.03
 37771.000,   11.05
 37771.042,   11.08
 37771.084,   11.12
 37771.126,   10.98
 37771.168,   11.10
 37771.210,   11.07
 37771.250,   11.05
 37771.292,   11.02
 37771.335,   11.00
 37771.376,   10.98
 37771.418,   10.98
 37771.460,   11.00
 37771.500,   11.02
 37771.542,   11.03
 37771.584,   11.05
 37771.625,   11.07
 37771.667,   11.09
 37771.709,   11.11
 37771.751,   11.13
 37771.793,   11.13
 37771.835,   11.13
 37771.876,   11.13
 37771.918,   11.15
 37771.960,   11.18
 37772.000,   11.21
 37772.042,   11.23
 37772.084,   11.23
 37772.126,   11.21
 37772.168,   11.19
 37772.209,   11.17
 37772.250,   11.16
 37772.292,   11.14
 37772.333,   11.13
 37772.376,   11.01
 37772.418,   11.03
 37772.460,   11.06
 37772.500,   11.10
 37772.542,   11.14
 37772.585,   11.18
 37772.627,   11.20
 37772.667,   11.18
 37772.709,   11.14
 37772.751,   11.12
 37772.794,   11.11
 37772.834,   11.11
 37772.876,   11.09
 37772.918,   11.08
 37772.961,   11.10
 37773.000,   11.11
 37773.042,   11.11
 37773.084,   11.12
 37773.125,   11.15
 37773.169,   11.17
 37773.208,   11.17
 37773.250,   11.16
 37773.292,   11.15
 37773.335,   11.16
 37773.377,   11.17
 37773.417,   11.19
 37773.459,   11.20
 37773.500,   11.22
 37773.542,   11.24
 37773.585,   11.16
 37773.627,   11.17
 37773.667,   11.17
 37773.709,   11.16
 37773.751,   11.15
 37773.793,   11.15
 37773.835,   11.15
 37773.875,   11.16
 37773.917,   11.18
 37773.960,   11.20
 37774.000,   11.21
 37774.042,   11.21
 37774.084,   11.19
 37774.127,   11.18
 37774.168,   11.18
 37774.210,   11.17
 37774.250,   11.16
 37774.292,   11.14
 37774.335,   11.14
 37774.376,   11.16
 37774.418,   11.18
 37774.460,   11.20
 37774.500,   11.22
 37774.543,   11.24
 37774.584,   11.24
 37774.626,   11.21
 37774.668,   11.20
 37774.710,   11.20
 37774.750,   11.20
 37774.794,   11.20
 37774.834,   11.21
 37774.877,   11.24
 37774.917,   11.27
 37774.958,   11.30
 37775.000,   11.32
 37775.042,   11.32
 37775.085,   11.30
 37775.126,   11.27
 37775.168,   11.24
 37775.209,   11.22
 37775.250,   11.20
 37775.292,   11.20
 37775.335,   11.22
 37775.377,   11.26
 37775.418,   11.31
 37775.459,   11.33
 37775.500,   11.33
 37775.544,   11.31
 37775.585,   11.29
 37775.627,   11.27
 37775.667,   11.27
 37775.710,   11.30
 37775.752,   11.35
 37775.793,   11.38
 37775.834,   11.38
 37775.876,   11.40
 37775.918,   11.42
 37775.959,   11.40
 37776.000,   11.36
 37776.042,   11.32
 37776.085,   11.31
 37776.126,   11.31
 37776.167,   11.32
 37776.210,   11.37
 37776.250,   11.42
 37776.292,   11.42
 37776.335,   11.39
 37776.377,   11.37
 37776.417,   11.35
 37776.459,   11.33
 37776.500,   11.31
 37776.543,   11.33
 37776.584,   11.37
 37776.627,   11.42
 37776.668,   11.47
 37776.709,   11.51
 37776.751,   11.55
 37776.792,   11.54
 37776.833,   11.51
 37776.876,   11.47
 37776.918,   11.45
 37776.960,   11.45
 37777.000,   11.46
 37777.042,   11.38
 37777.084,   11.39
 37777.126,   11.38
 37777.169,   11.37
 37777.210,   11.35
 37777.250,   11.33
