$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37770.042,   11.48
 37770.084,   11.48
 37770.126,   11.47
 37770.167,   11.47
 37770.209,   11.46
 37770.250,   11.45
 37770.292,   11.45
 37770.333,   11.45
 37770.377,   11.45
 37770.417,   11.44
 37770.459,   11.44
 37770.500,   11.45
 37770.543,   11.47
 37770.584,   11.47
 37770.627,   11.48
 37770.669,   11.49
 37770.709,   11.50
 37770.751,   11.49
 37770.792,   11.49
 37770.834,   11.50
 37770.877,   11.53
 37770.919,   11.56
 37770.959,   11.59
 37771.000,   11.61
 37771.042,   11.65
 37771.084,   11.55
 37771.126,   11.56
 37771.168,   11.54
 37771.210,   11.51
 37771.250,   11.48
 37771.292,   11.60
 37771.335,   11.57
 37771.376,   11.55
 37771.418,   11.55
 37771.460,   11.57
 37771.500,   11.58
 37771.542,   11.59
 37771.584,   11.61
 37771.625,   11.63
 37771.667,   11.66
 37771.709,   11.68
 37771.751,   11.70
 37771.793,   11.70
 37771.835,   11.70
 37771.876,   11.71
 37771.918,   11.73
 37771.960,   11.62
 37772.000,   11.65
 37772.042,   11.66
 37772.084,   11.80
 37772.126,   11.78
 37772.168,   11.76
 37772.209,   11.75
 37772.250,   11.73
 37772.292,   11.71
 37772.333,   11.69
 37772.376,   11.70
 37772.418,   11.72
 37772.460,   11.75
 37772.500,   11.79
 37772.542,   11.69
 37772.585,   11.73
 37772.627,   11.76
 37772.667,   11.74
 37772.709,   11.70
 37772.751,   11.67
 37772.794,   11.67
 37772.834,   11.66
 37772.876,   11.64
 37772.918,   11.62
 37772.961,   11.64
 37773.000,   11.65
 37773.042,   11.65
 37773.084,   11.66
 37773.125,   11.68
 37773.169,   11.70
 37773.208,   11.70
 37773.250,   11.67
 37773.292,   11.66
 37773.335,   11.66
 37773.377,   11.67
 37773.417,   11.68
 37773.459,   11.69
 37773.500,   11.71
 37773.542,   11.73
 37773.585,   11.76
 37773.627,   11.78
 37773.667,   11.78
 37773.709,   11.76
 37773.751,   11.76
 37773.793,   11.74
 37773.835,   11.74
 37773.875,   11.76
 37773.917,   11.78
 37773.960,   11.81
 37774.000,   11.83
 37774.042,   11.82
 37774.084,   11.80
 37774.127,   11.79
 37774.168,   11.79
 37774.210,   11.79
 37774.250,   11.78
 37774.292,   11.76
 37774.335,   11.75
 37774.376,   11.78
 37774.418,   11.81
 37774.460,   11.84
 37774.500,   11.88
 37774.543,   11.90
 37774.584,   11.89
 37774.626,   11.86
 37774.668,   11.83
 37774.710,   11.83
 37774.750,   11.83
 37774.794,   11.82
 37774.834,   11.84
 37774.877,   11.87
 37774.917,   11.92
 37774.958,   11.96
 37775.000,   11.99
 37775.042,   11.86
 37775.085,   11.84
 37775.126,   11.81
 37775.168,   11.78
 37775.209,   11.76
 37775.250,   11.74
 37775.292,   11.74
 37775.335,   11.76
 37775.377,   11.81
 37775.418,   11.87
 37775.459,   11.89
 37775.500,   11.89
 37775.544,   11.87
 37775.585,   11.84
 37775.627,   11.82
 37775.667,   11.93
 37775.710,   11.95
 37775.752,   12.00
 37775.793,   12.03
 37775.834,   12.03
 37775.876,   12.06
 37775.918,   11.96
 37775.959,   11.95
 37776.000,   11.91
 37776.042,   11.88
 37776.085,   11.87
 37776.126,   11.88
 37776.167,   11.90
 37776.210,   11.95
 37776.250,   12.02
 37776.292,   12.02
 37776.335,   11.98
 37776.377,   11.95
 37776.417,   11.94
 37776.459,   11.91
 37776.500,   11.89
 37776.543,   11.91
 37776.584,   11.95
 37776.627,   12.00
 37776.668,   12.05
 37776.709,   12.09
 37776.751,   12.12
 37776.792,   12.12
 37776.833,   12.08
 37776.876,   12.05
 37776.918,   12.03
 37776.960,   12.04
 37777.000,   12.06
 37777.042,   12.09
 37777.084,   12.11
 37777.126,   12.10
 37777.169,   12.09
 37777.210,   12.07
 37777.250,   12.05
 37777.292,   12.04
 37777.334,   12.04
 37777.375,   12.07
 37777.417,   12.11
 37777.459,   12.15
 37777.500,   12.18
 37777.543,   12.19
 37777.584,   12.17
 37777.626,   12.12
 37777.667,   12.09
 37777.708,   12.06
 37777.751,   12.05
 37777.793,   11.91
 37777.834,   11.91
 37777.876,   11.93
 37777.917,   11.95
 37777.958,   11.95
 37778.000,   11.96
 37778.042,   11.99
 37778.084,   12.02
 37778.126,   12.05
 37778.167,   12.10
 37778.210,   12.15
 37778.250,   12.15
 37778.292,   12.14
 37778.334,   12.13
 37778.377,   12.12
 37778.418,   12.07
 37778.460,   12.04
 37778.500,   12.05
 37778.543,   12.09
 37778.584,   12.03
 37778.626,   12.11
 37778.668,   12.17
 37778.709,   12.18
 37778.751,   12.15
 37778.792,   12.11
 37778.835,   12.07
 37778.877,   12.02
 37778.917,   11.98
 37778.960,   11.97
 37779.000,   11.97
 37779.042,   11.99
 37779.084,   12.03
 37779.127,   11.95
 37779.168,   11.95
 37779.209,   11.95
 37779.250,   11.95
 37779.292,   11.93
 37779.334,   11.91
 37779.375,   11.90
 37779.417,   11.94
 37779.460,   11.99
 37779.502,   11.90
 37779.543,   11.92
 37779.584,   11.93
 37779.626,   11.90
 37779.667,   11.87
 37779.709,   11.84
 37779.751,   11.83
 37779.794,   11.85
 37779.834,   11.91
 37779.877,   11.87
 37779.918,   11.92
 37779.960,   11.96
 37780.000,   11.98
 37780.042,   11.97
 37780.085,   11.92
 37780.126,   11.89
 37780.167,   11.87
 37780.210,   11.85
 37780.250,   11.84
 37780.293,   11.86
 37780.336,   11.89
 37780.376,   11.93
 37780.418,   11.96
 37780.459,   11.95
 37780.500,   11.90
 37780.543,   11.83
 37780.586,   11.79
 37780.628,   11.77
 37780.667,   11.77
 37780.710,   11.77
 37780.750,   11.79
 37780.793,   11.81
 37780.835,   11.83
 37780.876,   11.85
 37780.918,   11.89
 37780.961,   11.93
 37781.000,   11.95
 37781.042,   11.97
 37781.085,   11.98
 37781.127,   11.97
 37781.168,   12.07
 37781.210,   12.08
 37781.250,   12.07
 37781.293,   12.06
 37781.335,   12.05
 37781.377,   12.06
 37781.417,   12.06
 37781.460,   12.07
 37781.500,   12.10
 37781.544,   12.13
 37781.583,   12.15
 37781.625,   12.16
 37781.668,   12.19
 37781.709,   12.19
 37781.752,   12.16
 37781.793,   12.24
 37781.834,   12.25
 37781.876,   12.25
 37781.918,   12.23
 37781.960,   12.21
 37782.000,   12.22
 37782.043,   12.21
 37782.085,   12.20
 37782.127,   12.20
 37782.168,   12.22
 37782.209,   12.24
 37782.250,   12.26
 37782.293,   12.29
 37782.335,   12.32
 37782.377,   12.32
 37782.419,   12.44
 37782.459,   12.41
 37782.500,   12.36
 37782.543,   12.34
 37782.585,   12.35
 37782.628,   12.38
 37782.668,   12.42
 37782.710,   12.49
 37782.752,   12.56
 37782.793,   12.60
 37782.834,   12.59
 37782.876,   12.55
 37782.919,   12.51
 37782.958,   12.46
 37783.000,   12.40
 37783.043,   12.38
 37783.085,   12.39
 37783.127,   12.55
 37783.169,   12.60
 37783.209,   12.69
 37783.250,   12.77
 37783.293,   12.78
 37783.334,   12.77
 37783.377,   12.76
 37783.417,   12.73
 37783.460,   12.71
 37783.500,   12.74
 37783.542,   12.76
 37783.583,   12.76
 37783.626,   12.80
 37783.668,   12.85
 37783.710,   12.85
 37783.750,   12.83
 37783.794,   12.79
 37783.834,   12.76
 37783.876,   12.74
 37783.919,   12.89
 37783.960,   12.96
 37784.000,   13.03
 37784.043,   13.07
 37784.086,   13.10
 37784.128,   12.99
 37784.168,   12.98
 37784.210,   13.06
 37784.250,   13.03
 37784.293,   13.01
 37784.336,   13.01
 37784.376,   12.89
 37784.417,   12.94
 37784.460,   12.98
 37784.500,   12.98
 37784.543,   12.98
 37784.583,   12.98
 37784.625,   12.95
 37784.669,   12.91
 37784.709,   12.89
 37784.752,   12.87
 37784.792,   12.86
 37784.835,   12.88
 37784.878,   12.92
 37784.917,   12.92
 37784.959,   12.94
 37785.003,   12.98
 37785.043,   13.01
 37785.085,   13.03
 37785.126,   13.03
 37785.167,   13.03
 37785.209,   13.03
 37785.253,   13.04
 37785.293,   13.05
 37785.335,   13.05
 37785.375,   13.05
 37785.417,   13.07
 37785.459,   13.11
 37785.503,   13.14
 37785.542,   13.16
 37785.585,   13.19
 37785.627,   13.22
 37785.670,   13.23
 37785.710,   13.23
 37785.751,   13.23
 37785.794,   13.23
 37785.836,   13.22
 37785.878,   13.22
 37785.917,   13.21
 37785.961,   13.20
 37786.003,   13.17
 37786.043,   13.15
 37786.086,   13.15
 37786.128,   13.15
 37786.169,   13.17
 37786.210,   13.19
 37786.254,   13.21
 37786.293,   13.22
 37786.336,   13.09
 37786.377,   13.09
 37786.418,   13.10
 37786.460,   13.10
 37786.504,   13.11
 37786.542,   13.12
 37786.586,   13.13
 37786.627,   13.15
 37786.669,   13.17
 37786.710,   13.19
 37786.751,   13.20
 37786.792,   13.21
 37786.837,   13.23
 37786.878,   13.29
 37786.919,   13.33
 37786.959,   13.33
 37787.004,   13.32
 37787.044,   13.33
 37787.084,   13.31
 37787.126,   13.26
 37787.169,   13.25
 37787.210,   13.27
 37787.252,   13.29
 37787.294,   13.31
 37787.336,   13.34
 37787.379,   13.36
 37787.418,   13.36
 37787.460,   13.37
 37787.504,   13.38
 37787.542,   13.37
 37787.584,   13.35
 37787.628,   13.36
 37787.668,   13.37
 37787.709,   13.37
 37787.752,   13.36
 37787.793,   13.37
 37787.834,   13.37
 37787.878,   13.37
 37787.918,   13.40
 37787.961,   13.45
 37788.004,   13.47
 37788.044,   13.47
 37788.084,   13.46
 37788.128,   13.44
 37788.168,   13.43
 37788.210,   13.46
 37788.254,   13.47
 37788.293,   13.45
 37788.336,   13.46
 37788.378,   13.49
 37788.418,   13.52
 37788.460,   13.53
 37788.504,   13.53
 37788.545,   13.54
 37788.585,   13.55
 37788.628,   13.58
 37788.668,   13.59
 37788.708,   13.60
 37788.752,   13.64
 37788.794,   13.61
 37788.835,   13.58
 37788.878,   13.46
 37788.919,   13.48
 37788.959,   13.48
 37789.003,   13.49
 37789.043,   13.52
 37789.084,   13.53
 37789.127,   13.54
 37789.167,   13.54
 37789.210,   13.54
 37789.254,   13.53
 37789.293,   13.54
 37789.334,   13.55
 37789.375,   13.57
 37789.419,   13.59
 37789.459,   13.60
 37789.504,   13.57
 37789.544,   13.55
 37789.584,   13.59
 37789.627,   13.63
 37789.667,   13.64
 37789.710,   13.65
 37789.751,   13.63
 37789.792,   13.58
 37789.835,   13.58
 37789.876,   13.61
 37789.917,   13.66
 37789.960,   13.74
 37790.003,   13.82
 37790.043,   13.75
 37790.087,   13.80
 37790.126,   13.74
 37790.169,   13.60
 37790.209,   13.56
 37790.253,   13.57
 37790.293,   13.57
 37790.336,   13.54
 37790.377,   13.53
 37790.418,   13.53
 37790.460,   13.55
 37790.503,   13.62
 37790.542,   13.85
 37790.584,   13.90
 37790.627,   13.98
 37790.668,   14.03
 37790.710,   14.07
 37790.751,   13.95
 37790.794,   13.95
 37790.834,   13.89
 37790.878,   13.79
 37790.918,   13.76
 37790.959,   13.73
 37791.004,   13.70
 37791.043,   13.69
 37791.083,   13.71
 37791.127,   13.71
 37791.167,   13.73
 37791.210,   13.78
 37791.253,   13.81
 37791.293,   13.85
 37791.337,   13.88
 37791.376,   13.87
 37791.418,   13.86
 37791.459,   13.83
 37791.503,   13.79
 37791.542,   13.76
 37791.585,   13.74
 37791.625,   13.73
 37791.667,   13.72
 37791.709,   13.73
 37791.751,   13.74
 37791.794,   13.77
 37791.836,   13.80
 37791.875,   13.83
 37791.917,   13.87
 37791.961,   13.92
 37792.003,   13.97
 37792.043,   14.01
 37792.086,   14.03
 37792.127,   14.05
 37792.169,   14.07
 37792.210,   14.09
 37792.253,   14.09
 37792.293,   14.11
 37792.335,   14.12
 37792.376,   14.13
 37792.418,   14.01
 37792.459,   14.04
 37792.503,   14.06
 37792.544,   14.06
 37792.584,   14.06
 37792.626,   14.05
 37792.669,   14.04
 37792.710,   14.04
 37792.750,   14.04
 37792.794,   14.03
 37792.835,   14.02
 37792.877,   14.00
 37792.919,   13.99
 37792.959,   13.98
 37793.003,   13.97
 37793.043,   13.97
 37793.085,   13.84
 37793.127,   13.87
 37793.168,   13.89
 37793.210,   13.90
 37793.252,   13.91
 37793.293,   13.91
 37793.334,   13.92
 37793.376,   13.92
 37793.418,   13.96
 37793.460,   13.98
 37793.502,   14.01
 37793.543,   14.06
 37793.584,   14.09
 37793.627,   14.10
 37793.669,   14.11
 37793.709,   14.13
 37793.751,   14.16
 37793.794,   14.04
 37793.833,   14.09
 37793.875,   14.12
 37793.918,   14.12
 37793.959,   14.12
 37794.002,   14.12
 37794.042,   14.13
 37794.085,   14.12
 37794.126,   14.09
 37794.169,   14.09
 37794.209,   14.08
 37794.252,   14.07
 37794.292,   14.07
 37794.335,   14.04
 37794.376,   14.03
 37794.418,   14.03
 37794.460,   14.05
 37794.502,   14.09
 37794.542,   14.10
 37794.585,   14.09
 37794.627,   14.08
 37794.667,   14.04
 37794.709,   14.04
 37794.751,   14.08
 37794.793,   14.09
 37794.834,   14.08
 37794.877,   14.07
 37794.919,   14.08
 37794.959,   14.09
 37795.002,   14.07
 37795.042,   14.07
 37795.084,   14.07
 37795.127,   14.08
 37795.168,   14.12
 37795.210,   14.16
 37795.252,   14.16
 37795.292,   14.15
 37795.335,   14.13
 37795.376,   14.15
 37795.418,   14.17
 37795.460,   14.20
 37795.502,   14.23
 37795.542,   14.40
 37795.584,   14.42
 37795.626,   14.40
 37795.668,   14.39
 37795.709,   14.40
 37795.752,   14.44
 37795.793,   14.47
 37795.833,   14.48
 37795.875,   14.48
 37795.917,   14.49
 37795.959,   14.50
 37796.002,   14.49
 37796.042,   14.49
 37796.084,   14.52
 37796.126,   14.55
 37796.168,   14.58
 37796.210,   14.60
 37796.251,   14.59
 37796.292,   14.60
 37796.335,   14.64
 37796.376,   14.67
 37796.418,   14.70
 37796.459,   14.72
 37796.502,   14.72
 37796.543,   14.70
 37796.585,   14.70
 37796.627,   14.73
 37796.669,   14.70
 37796.709,   14.66
 37796.751,   14.65
 37796.793,   14.64
 37796.835,   14.63
 37796.875,   14.63
 37796.917,   14.63
 37796.960,   14.61
 37797.002,   14.61
 37797.042,   14.63
 37797.084,   14.66
 37797.127,   14.72
 37797.168,   14.76
 37797.209,   14.77
 37797.252,   14.79
 37797.292,   14.81
 37797.334,   14.82
 37797.376,   14.86
 37797.418,   14.90
 37797.460,   14.91
 37797.502,   14.90
 37797.542,   14.91
 37797.585,   14.93
 37797.627,   14.94
 37797.667,   14.99
 37797.709,   15.03
 37797.751,   15.03
 37797.792,   15.03
 37797.834,   15.05
 37797.877,   15.04
 37797.919,   15.05
 37797.959,   15.06
 37798.001,   15.06
 37798.042,   15.07
 37798.084,   15.07
 37798.125,   15.05
 37798.167,   15.04
 37798.209,   15.05
 37798.252,   15.04
 37798.292,   15.05
 37798.334,   15.06
 37798.375,   15.09
 37798.418,   15.15
 37798.460,   15.18
 37798.502,   15.21
 37798.543,   15.22
 37798.584,   15.21
 37798.626,   15.22
 37798.669,   15.24
 37798.709,   15.27
 37798.751,   15.30
 37798.792,   15.30
 37798.835,   15.30
 37798.877,   15.27
 37798.917,   15.26
 37798.960,   15.28
 37799.002,   15.28
 37799.042,   15.29
 37799.085,   15.29
 37799.127,   15.27
 37799.168,   15.27
 37799.210,   15.28
 37799.252,   15.31
 37799.292,   15.34
 37799.335,   15.36
 37799.376,   15.38
 37799.418,   15.40
 37799.459,   15.44
 37799.503,   15.46
 37799.543,   15.46
 37799.583,   15.47
 37799.626,   15.47
 37799.669,   15.49
 37799.709,   15.52
 37799.751,   15.51
 37799.792,   15.49
 37799.836,   15.49
 37799.877,   15.49
 37799.918,   15.35
 37799.959,   15.36
 37800.002,   15.38
 37800.042,   15.38
 37800.084,   15.39
 37800.125,   15.39
 37800.167,   15.38
 37800.209,   15.37
 37800.252,   15.36
 37800.292,   15.35
 37800.334,   15.35
 37800.375,   15.35
 37800.417,   15.36
 37800.459,   15.39
 37800.502,   15.44
 37800.545,   15.47
 37800.586,   15.49
 37800.626,   15.52
 37800.669,   15.52
 37800.710,   15.55
 37800.754,   15.58
 37800.796,   15.60
 37800.836,   15.63
 37800.879,   15.51
 37800.920,   15.52
 37800.960,   15.49
 37801.004,   15.46
 37801.044,   15.44
 37801.085,   15.42
 37801.126,   15.44
 37801.170,   15.45
 37801.209,   15.45
 37801.254,   15.49
 37801.294,   15.50
 37801.333,   15.52
 37801.376,   15.56
 37801.418,   15.72
 37801.460,   15.76
 37801.504,   15.79
 37801.542,   15.79
 37801.585,   15.78
 37801.626,   15.78
 37801.668,   15.75
 37801.710,   15.73
 37801.752,   15.72
 37801.792,   15.72
 37801.838,   15.73
 37801.876,   15.74
 37801.917,   15.77
 37801.961,   15.79
 37802.003,   15.84
 37802.043,   15.87
 37802.084,   15.89
 37802.127,   15.95
 37802.169,   15.94
 37802.210,   15.93
 37802.254,   15.92
 37802.294,   16.03
 37802.338,   16.00
 37802.380,   16.01
 37802.419,   16.01
 37802.459,   16.04
 37802.504,   16.08
 37802.542,   16.11
 37802.584,   16.14
 37802.628,   16.18
 37802.669,   16.21
 37802.710,   16.40
 37802.751,   16.41
 37802.794,   16.36
 37802.834,   16.34
 37802.876,   16.36
 37802.920,   16.36
 37802.958,   16.32
 37803.003,   16.29
 37803.044,   16.25
 37803.084,   16.21
 37803.125,   16.21
 37803.168,   16.21
 37803.210,   16.26
 37803.254,   16.33
 37803.294,   16.36
 37803.334,   16.38
 37803.377,   16.40
 37803.419,   16.41
 37803.460,   16.60
 37803.504,   16.64
 37803.543,   16.64
 37803.587,   16.63
 37803.625,   16.62
 37803.670,   16.59
 37803.710,   16.56
 37803.751,   16.55
 37803.795,   16.53
 37803.833,   16.57
 37803.875,   16.62
 37803.918,   16.66
 37803.960,   16.67
 37804.004,   16.66
 37804.045,   16.64
 37804.084,   16.64
 37804.128,   16.63
 37804.168,   16.58
 37804.209,   16.58
 37804.255,   16.62
 37804.294,   16.66
 37804.335,   16.71
 37804.378,   16.75
 37804.419,   16.77
 37804.460,   16.77
 37804.504,   16.76
 37804.543,   16.75
 37804.584,   16.74
 37804.627,   16.78
 37804.670,   16.83
 37804.710,   16.88
 37804.751,   16.90
 37804.793,   16.89
 37804.835,   16.89
 37804.876,   16.90
 37804.920,   16.92
 37804.962,   16.94
 37805.004,   16.94
 37805.043,   16.91
 37805.087,   16.89
 37805.127,   16.90
 37805.169,   16.90
 37805.210,   16.91
 37805.254,   16.94
 37805.294,   16.98
 37805.337,   17.01
 37805.377,   17.01
 37805.420,   17.02
 37805.459,   17.03
 37805.503,   17.05
 37805.542,   17.07
 37805.585,   17.08
 37805.626,   17.08
 37805.667,   17.09
 37805.709,   17.10
 37805.753,   17.14
 37805.792,   17.17
 37805.837,   17.19
 37805.876,   17.20
 37805.917,   17.18
 37805.960,   17.00
 37806.004,   16.98
 37806.044,   16.99
 37806.085,   17.00
 37806.125,   17.04
 37806.167,   17.07
 37806.210,   17.10
 37806.254,   17.11
 37806.295,   17.11
 37806.336,   17.10
 37806.378,   17.11
 37806.420,   17.13
 37806.460,   17.15
 37806.505,   17.16
 37806.545,   17.16
 37806.586,   17.17
 37806.627,   17.17
 37806.670,   17.18
 37806.709,   17.17
 37806.753,   17.20
 37806.793,   17.19
 37806.835,   17.08
 37806.875,   17.06
 37806.920,   17.06
 37806.962,   17.08
 37807.003,   17.10
 37807.044,   17.11
 37807.084,   17.10
 37807.127,   17.10
 37807.167,   17.11
 37807.210,   17.13
 37807.254,   17.13
 37807.294,   17.14
 37807.336,   17.17
 37807.377,   17.18
 37807.419,   17.19
 37807.460,   17.18
 37807.504,   17.16
 37807.543,   17.17
 37807.586,   17.20
 37807.628,   17.25
 37807.670,   17.28
 37807.710,   17.30
 37807.753,   17.31
 37807.792,   17.32
 37807.836,   17.32
 37807.879,   17.16
 37807.917,   17.15
 37807.959,   17.15
 37808.003,   17.15
 37808.044,   17.14
 37808.084,   17.15
 37808.128,   17.16
 37808.170,   17.16
 37808.210,   17.17
 37808.254,   17.17
 37808.294,   17.32
 37808.337,   17.32
 37808.376,   17.33
 37808.418,   17.37
 37808.460,   17.39
 37808.504,   17.41
 37808.544,   17.40
 37808.584,   17.41
 37808.627,   17.41
 37808.668,   17.41
 37808.708,   17.42
 37808.751,   17.45
 37808.795,   17.49
 37808.834,   17.50
 37808.875,   17.51
 37808.918,   17.50
 37808.962,   17.49
 37809.004,   17.63
 37809.044,   17.63
 37809.085,   17.63
 37809.128,   17.63
 37809.168,   17.64
 37809.210,   17.65
 37809.254,   17.67
 37809.294,   17.69
 37809.336,   17.71
 37809.379,   17.74
 37809.419,   17.75
 37809.460,   17.75
 37809.504,   17.75
 37809.545,   17.75
 37809.584,   17.74
 37809.630,   17.73
 37809.667,   17.90
 37809.708,   17.91
 37809.751,   17.90
 37809.794,   17.92
 37809.837,   17.93
 37809.878,   17.95
 37809.918,   17.96
 37809.959,   17.97
 37810.004,   17.99
 37810.043,   17.99
 37810.084,   17.98
 37810.126,   17.98
 37810.169,   17.99
 37810.210,   18.01
 37810.254,   18.02
 37810.293,   18.04
 37810.336,   18.05
 37810.378,   18.06
 37810.418,   18.09
 37810.460,   17.96
 37810.503,   17.97
 37810.543,   17.99
 37810.584,   17.98
 37810.625,   17.98
 37810.669,   17.97
 37810.710,   17.95
 37810.754,   17.99
 37810.794,   17.99
 37810.837,   18.01
 37810.877,   18.05
 37810.917,   18.06
 37810.959,   18.05
 37811.003,   17.92
 37811.044,   17.91
 37811.086,   18.04
 37811.128,   18.05
 37811.167,   18.06
 37811.210,   18.05
 37811.253,   18.04
 37811.293,   18.06
 37811.336,   18.07
 37811.377,   18.10
 37811.417,   18.12
 37811.459,   18.27
 37811.504,   18.27
 37811.544,   18.27
 37811.585,   18.28
 37811.626,   18.31
 37811.669,   18.31
 37811.709,   18.32
 37811.752,   18.33
 37811.792,   18.32
 37811.835,   18.33
 37811.879,   18.33
 37811.920,   18.36
 37811.959,   18.37
 37812.003,   18.55
 37812.043,   18.38
 37812.083,   18.38
 37812.125,   18.37
 37812.167,   18.36
 37812.210,   18.37
 37812.253,   18.38
 37812.293,   18.39
 37812.336,   18.40
 37812.378,   18.43
 37812.419,   18.45
 37812.460,   18.46
 37812.503,   18.48
 37812.542,   18.47
 37812.585,   18.47
 37812.628,   18.48
 37812.667,   18.49
 37812.710,   18.50
 37812.753,   18.52
 37812.795,   18.55
 37812.835,   18.56
 37812.876,   18.56
 37812.918,   18.56
 37812.961,   18.55
 37813.003,   18.56
 37813.043,   18.56
 37813.086,   18.56
 37813.126,   18.56
 37813.169,   18.56
 37813.209,   18.57
 37813.253,   18.59
 37813.293,   18.61
 37813.334,   18.63
 37813.378,   18.65
 37813.417,   18.66
 37813.460,   18.66
 37813.503,   18.66
 37813.544,   18.68
 37813.585,   18.69
 37813.627,   18.55
 37813.667,   18.56
 37813.710,   18.57
 37813.752,   18.58
 37813.794,   18.59
 37813.834,   18.60
 37813.876,   18.63
 37813.917,   18.64
 37813.959,   18.64
 37814.003,   18.65
 37814.043,   18.64
 37814.086,   18.64
 37814.125,   18.65
 37814.168,   18.67
 37814.210,   18.68
 37814.253,   18.69
 37814.293,   18.70
 37814.334,   18.71
 37814.375,   18.71
 37814.417,   18.57
 37814.459,   18.59
 37814.503,   18.60
 37814.542,   18.60
 37814.585,   18.61
 37814.627,   18.61
 37814.668,   18.62
 37814.710,   18.64
 37814.750,   18.68
 37814.792,   18.68
 37814.834,   18.68
 37814.877,   18.67
 37814.919,   18.66
 37814.959,   18.66
 37815.003,   18.67
 37815.043,   18.68
 37815.086,   18.69
 37815.128,   18.55
 37815.169,   18.56
 37815.210,   18.71
 37815.253,   18.70
 37815.293,   18.72
 37815.336,   18.73
 37815.375,   18.73
 37815.417,   18.74
 37815.458,   18.75
