$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,QWD(m3s-1)
 37770.042,  125.5300
 37770.084,  125.5300
 37770.126,  125.5300
 37770.167,  125.5300
 37770.209,  125.5300
 37770.250,  125.5300
 37770.292,  125.5300
 37770.334,  125.5300
 37770.377,  125.5300
 37770.417,  125.5300
 37770.459,  125.5300
 37770.500,  125.5300
 37770.543,  125.5300
 37770.585,  125.5300
 37770.627,  125.5300
 37770.667,  125.5300
 37770.709,  125.5300
 37770.751,  125.5300
 37770.794,  125.5300
 37770.834,  125.5300
 37770.876,  125.5300
 37770.919,  125.5300
 37770.959,  125.5300
 37771.000,  125.5300
 37771.042,  125.5312
 37771.084,  125.5325
 37771.126,  125.5337
 37771.167,  125.5350
 37771.209,  125.5362
 37771.250,  125.5375
 37771.292,  125.5387
 37771.335,  125.5400
 37771.376,  125.5412
 37771.418,  125.5425
 37771.460,  125.5437
 37771.500,  125.5450
 37771.544,  125.5462
 37771.584,  125.5475
 37771.625,  125.5487
 37771.667,  125.5500
 37771.709,  125.5512
 37771.751,  125.5525
 37771.793,  125.5537
 37771.835,  125.5550
 37771.876,  125.5562
 37771.918,  125.5575
 37771.960,  125.5587
 37772.000,  125.5600
 37772.042,  125.5236
 37772.083,  125.4857
 37772.126,  125.4473
 37772.167,  125.4101
 37772.209,  125.3717
 37772.250,  125.3335
 37772.292,  125.2961
 37772.333,  125.2585
 37772.376,  125.2201
 37772.418,  125.1814
 37772.460,  125.1435
 37772.500,  125.1065
 37772.543,  125.0680
 37772.584,  125.0302
 37772.627,  124.9915
 37772.667,  124.9549
 37772.709,  124.9166
 37772.752,  124.8779
 37772.793,  124.8401
 37772.834,  124.8031
 37772.876,  124.7648
 37772.918,  124.7262
 37772.958,  124.6898
 37773.000,  124.6519
 37773.042,  124.6512
 37773.084,  124.6525
 37773.126,  124.6537
 37773.169,  124.6550
 37773.209,  124.6562
 37773.250,  124.6575
 37773.292,  124.6587
 37773.333,  124.6599
 37773.377,  124.6612
 37773.417,  124.6625
 37773.459,  124.6637
 37773.500,  124.6650
 37773.544,  124.6662
 37773.585,  124.6675
 37773.627,  124.6687
 37773.667,  124.6699
 37773.710,  124.6712
 37773.752,  124.6725
 37773.793,  124.6737
 37773.835,  124.6750
 37773.875,  124.6762
 37773.917,  124.6775
 37773.960,  124.6787
 37774.000,  124.6800
 37774.043,  124.6800
 37774.085,  124.6800
 37774.127,  124.6800
 37774.168,  124.6800
 37774.210,  124.6800
 37774.250,  124.6800
 37774.292,  124.6800
 37774.335,  124.6800
 37774.376,  124.6800
 37774.419,  124.6800
 37774.458,  124.6800
 37774.500,  124.6800
 37774.543,  124.6800
 37774.585,  124.6800
 37774.626,  124.6800
 37774.668,  124.6800
 37774.709,  124.6800
 37774.750,  124.6800
 37774.794,  124.6800
 37774.836,  124.6800
 37774.876,  124.6800
 37774.918,  124.6800
 37774.958,  124.6800
 37775.000,  124.6800
 37775.042,  124.6788
 37775.085,  124.6775
 37775.125,  124.6763
 37775.167,  124.6750
 37775.210,  124.6738
 37775.250,  124.6725
 37775.292,  124.6713
 37775.334,  124.6701
 37775.377,  124.6688
 37775.419,  124.6675
 37775.460,  124.6663
 37775.500,  124.6650
 37775.543,  124.6638
 37775.584,  124.6625
 37775.625,  124.6613
 37775.667,  124.6600
 37775.710,  124.6588
 37775.752,  124.6575
 37775.793,  124.6563
 37775.835,  124.6550
 37775.876,  124.6538
 37775.917,  124.6526
 37775.958,  124.6513
 37776.000,  124.6501
 37776.042,  124.6488
 37776.085,  124.6475
 37776.126,  124.6463
 37776.167,  124.6451
 37776.209,  124.6438
 37776.250,  124.6425
 37776.292,  124.6413
 37776.334,  124.6401
 37776.377,  124.6388
 37776.418,  124.6375
 37776.459,  124.6363
 37776.500,  124.6350
 37776.543,  124.6338
 37776.584,  124.6325
 37776.626,  124.6313
 37776.668,  124.6300
 37776.709,  124.6288
 37776.750,  124.6276
 37776.793,  124.6263
 37776.835,  124.6250
 37776.876,  124.6238
 37776.918,  124.6225
 37776.960,  124.6213
 37777.000,  124.6200
 37777.042,  124.6212
 37777.084,  124.6225
 37777.126,  124.6237
 37777.167,  124.6249
 37777.209,  124.6262
 37777.250,  124.6275
 37777.292,  124.6287
 37777.334,  124.6300
 37777.375,  124.6312
 37777.417,  124.6325
 37777.459,  124.6337
 37777.500,  124.6350
 37777.543,  124.6362
 37777.584,  124.6375
 37777.626,  124.6387
 37777.668,  124.6400
 37777.708,  124.6412
 37777.752,  124.6425
 37777.793,  124.6437
 37777.833,  124.6449
 37777.875,  124.6462
 37777.917,  124.6475
 37777.959,  124.6487
 37778.000,  124.6500
 37778.042,  123.7878
 37778.084,  122.8768
 37778.126,  121.9707
 37778.167,  121.0803
 37778.209,  120.1811
 37778.250,  119.2981
 37778.292,  118.4003
 37778.334,  117.4822
 37778.375,  116.5998
 37778.417,  115.6963
 37778.459,  114.7868
 37778.500,  113.8773
 37778.543,  112.9924
 37778.584,  112.1009
 37778.626,  111.2000
 37778.667,  110.3056
 37778.709,  109.4070
 37778.750,  108.5185
 37778.792,  107.6265
 37778.834,  106.7107
 37778.876,  105.8105
 37778.918,  104.9092
 37778.960,  103.9986
 37779.000,  103.1366
 37779.042,  102.0497
 37779.084,  100.9534
 37779.126,   99.8404
 37779.167,   98.7558
 37779.208,   97.6764
 37779.250,   96.5691
 37779.292,   95.4872
 37779.334,   94.3586
 37779.376,   93.2900
 37779.418,   92.1765
 37779.459,   91.1075
 37779.500,   90.0187
 37779.543,   88.8983
 37779.585,   87.7943
 37779.626,   86.7154
 37779.667,   85.6517
 37779.710,   84.5150
 37779.751,   83.4356
 37779.794,   82.3229
 37779.835,   81.2391
 37779.876,   80.1729
 37779.917,   79.0875
 37779.961,   77.9470
 37780.000,   76.9099
 37780.042,   76.9624
 37780.085,   77.0820
 37780.126,   77.1981
 37780.167,   77.3127
 37780.210,   77.4323
 37780.250,   77.5514
 37780.293,   77.6649
 37780.336,   77.7857
 37780.376,   77.8993
 37780.418,   78.0181
 37780.460,   78.1357
 37780.500,   78.2510
 37780.544,   78.3704
 37780.586,   78.4889
 37780.626,   78.6014
 37780.669,   78.7231
 37780.708,   78.8332
 37780.750,   78.9525
 37780.792,   79.0686
 37780.834,   79.1865
 37780.877,   79.3062
 37780.918,   79.4247
 37780.959,   79.5369
 37781.000,   79.6579
 37781.043,   80.4394
 37781.086,   81.2744
 37781.126,   82.0538
 37781.168,   82.8763
 37781.209,   83.6840
 37781.250,   84.5220
 37781.293,   85.3094
 37781.335,   86.1439
 37781.375,   86.9216
 37781.418,   87.7479
 37781.460,   88.5747
 37781.500,   89.3991
 37781.544,   90.2074
 37781.586,   91.0233
 37781.626,   91.8021
 37781.668,   92.6263
 37781.709,   93.4160
 37781.752,   94.2642
 37781.794,   95.0813
 37781.835,   95.8814
 37781.876,   96.6765
 37781.918,   97.4857
 37781.960,   98.3093
 37782.000,   99.0897
 37782.042,  100.0499
 37782.085,  101.0189
 37782.125,  101.9379
 37782.168,  102.9026
 37782.209,  103.8242
 37782.250,  104.8061
 37782.292,  105.7349
 37782.336,  106.7188
 37782.376,  107.6368
 37782.417,  108.5639
 37782.460,  109.5497
 37782.500,  110.4955
 37782.542,  111.4132
 37782.585,  112.3915
 37782.627,  113.3377
 37782.668,  114.2600
 37782.709,  115.1939
 37782.751,  116.1555
 37782.793,  117.1052
 37782.836,  118.0868
 37782.876,  118.9925
 37782.917,  119.9275
 37782.960,  120.9091
 37783.000,  121.8219
 37783.043,  122.5538
 37783.085,  123.2712
 37783.127,  123.9683
 37783.168,  124.6612
 37783.210,  125.3865
 37783.250,  126.0584
 37783.293,  126.7638
 37783.335,  127.4799
 37783.376,  128.1735
 37783.418,  128.8678
 37783.459,  129.5590
 37783.500,  130.2664
 37783.544,  130.9960
 37783.585,  131.6829
 37783.625,  132.3572
 37783.669,  133.1067
 37783.710,  133.7845
 37783.752,  134.5032
 37783.794,  135.2096
 37783.833,  135.8696
 37783.876,  136.5880
 37783.919,  137.3054
 37783.960,  137.9940
 37784.000,  138.6941
 37784.043,  138.7168
 37784.086,  138.7134
 37784.127,  138.7100
 37784.169,  138.7067
 37784.210,  138.7034
 37784.250,  138.7000
 37784.292,  138.6968
 37784.334,  138.6935
 37784.376,  138.6901
 37784.419,  138.6867
 37784.460,  138.6834
 37784.500,  138.6802
 37784.543,  138.6768
 37784.586,  138.6734
 37784.625,  138.6702
 37784.669,  138.6667
 37784.710,  138.6633
 37784.751,  138.6601
 37784.794,  138.6568
 37784.836,  138.6534
 37784.877,  138.6500
 37784.918,  138.6468
 37784.960,  138.6433
 37785.001,  138.6400
 37785.043,  138.5436
 37785.087,  138.4393
 37785.127,  138.3416
 37785.169,  138.2398
 37785.210,  138.1411
 37785.253,  138.0375
 37785.293,  137.9411
 37785.333,  137.8436
 37785.377,  137.7399
 37785.418,  137.6399
 37785.460,  137.5371
 37785.503,  137.4350
 37785.545,  137.3346
 37785.585,  137.2380
 37785.627,  137.1357
 37785.667,  137.0392
 37785.710,  136.9360
 37785.751,  136.8384
 37785.792,  136.7379
 37785.835,  136.6358
 37785.875,  136.5379
 37785.918,  136.4343
 37785.961,  136.3312
 37786.003,  136.2299
 37786.043,  136.0331
 37786.086,  135.8207
 37786.126,  135.6237
 37786.169,  135.4148
 37786.209,  135.2178
 37786.253,  134.9999
 37786.294,  134.8031
 37786.336,  134.5939
 37786.377,  134.3904
 37786.420,  134.1806
 37786.460,  133.9808
 37786.504,  133.7699
 37786.542,  133.5811
 37786.585,  133.3687
 37786.626,  133.1704
 37786.667,  132.9670
 37786.709,  132.7538
 37786.752,  132.5477
 37786.794,  132.3350
 37786.836,  132.1368
 37786.876,  131.9298
 37786.918,  131.7222
 37786.959,  131.5234
 37787.004,  131.3100
 37787.044,  131.4752
 37787.084,  131.6404
 37787.128,  131.8214
 37787.169,  131.9902
 37787.210,  132.1597
 37787.254,  132.3425
 37787.294,  132.5077
 37787.336,  132.6819
 37787.376,  132.8467
 37787.418,  133.0219
 37787.460,  133.2007
 37787.503,  133.3750
 37787.544,  133.5422
 37787.587,  133.7174
 37787.629,  133.8893
 37787.669,  134.0558
 37787.708,  134.2190
 37787.753,  134.4026
 37787.793,  134.5720
 37787.833,  134.7416
 37787.876,  134.9111
 37787.917,  135.0880
 37787.959,  135.2606
 37788.002,  135.4399
 37788.043,  135.1523
 37788.084,  134.8647
 37788.129,  134.5416
 37788.168,  134.2603
 37788.210,  133.9494
 37788.254,  133.6424
