$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37781.918,    9.11
 37781.960,    9.11
 37782.000,    9.11
 37782.042,    9.12
 37782.085,    9.12
 37782.125,    9.11
 37782.168,    9.10
 37782.209,    9.09
 37782.250,    9.08
 37782.292,    9.08
 37782.336,    9.09
 37782.376,    9.09
 37782.417,    9.08
 37782.460,    9.08
 37782.500,    9.08
 37782.542,    9.08
 37782.585,    9.09
 37782.627,    9.10
 37782.668,    9.11
 37782.709,    9.11
 37782.751,    9.11
 37782.793,    9.12
 37782.836,    9.12
 37782.876,    9.11
 37782.917,    9.09
 37782.960,    9.08
 37783.000,    9.07
 37783.043,    9.05
 37783.085,    9.05
 37783.127,    9.05
 37783.168,    9.05
 37783.210,    9.04
 37783.250,    9.05
 37783.293,    9.05
 37783.335,    9.05
 37783.376,    9.07
 37783.418,    9.09
 37783.459,    9.09
 37783.500,    9.11
 37783.544,    9.13
 37783.585,    9.15
 37783.625,    9.14
 37783.669,    9.14
 37783.710,    9.13
 37783.752,    9.11
 37783.794,    9.10
 37783.833,    9.10
 37783.876,    9.10
 37783.919,    9.09
 37783.960,    9.09
 37784.000,    9.10
 37784.043,    9.10
 37784.086,    9.09
 37784.127,    9.09
 37784.169,    9.09
 37784.210,    9.08
 37784.250,    9.08
 37784.292,    9.09
 37784.334,    9.10
 37784.376,    9.10
 37784.419,    9.11
 37784.460,    9.11
 37784.500,    9.10
 37784.543,    9.10
 37784.586,    9.10
 37784.625,    9.11
 37784.669,    9.10
 37784.710,    9.10
 37784.751,    9.11
 37784.794,    9.11
 37784.836,    9.11
 37784.877,    9.11
 37784.918,    9.12
 37784.960,    9.12
 37785.001,    9.13
 37785.043,    9.14
 37785.087,    9.15
 37785.127,    9.15
 37785.169,    9.16
 37785.210,    9.15
 37785.253,    9.14
 37785.293,    9.13
 37785.333,    9.12
 37785.377,    9.11
 37785.418,    9.11
 37785.460,    9.11
 37785.503,    9.10
 37785.545,    9.10
 37785.585,    9.10
 37785.627,    9.10
 37785.667,    9.09
 37785.710,    9.09
 37785.751,    9.09
 37785.792,    9.09
 37785.835,    9.09
 37785.875,    9.10
 37785.918,    9.11
 37785.961,    9.12
 37786.003,    9.12
 37786.043,    9.12
