$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:172.     

JDAY,QWD(m3s-1)
 37770.042,    0.0000
 37770.084,    0.0000
 37770.126,    0.0000
 37770.167,    0.0000
 37770.209,    0.0000
 37770.250,    0.0000
 37770.292,    0.0000
 37770.334,    0.0000
 37770.377,    0.0000
 37770.417,    0.0000
 37770.459,    0.0000
 37770.500,    0.0000
 37770.543,    0.0000
 37770.585,    0.0000
 37770.627,    0.0000
 37770.667,    0.0000
 37770.709,    0.0000
 37770.751,    0.0000
 37770.794,    0.0000
 37770.834,    0.0000
 37770.876,    0.0000
 37770.919,    0.0000
 37770.959,    0.0000
 37771.000,    0.0000
 37771.042,    0.0000
 37771.084,    0.0000
 37771.126,    0.0000
 37771.167,    0.0000
 37771.209,    0.0000
 37771.250,    0.0000
 37771.292,    0.0000
 37771.335,    0.0000
 37771.376,    0.0000
 37771.418,    0.0000
 37771.460,    0.0000
 37771.500,    0.0000
 37771.544,    0.0000
 37771.584,    0.0000
 37771.625,    0.0000
 37771.667,    0.0000
 37771.709,    0.0000
 37771.751,    0.0000
 37771.793,    0.0000
 37771.835,    0.0000
 37771.876,    0.0000
 37771.918,    0.0000
 37771.960,    0.0000
 37772.000,    0.0000
 37772.042,    0.0000
 37772.083,    0.0000
 37772.126,    0.0000
 37772.167,    0.0000
 37772.209,    0.0000
 37772.250,    0.0000
 37772.292,    0.0000
 37772.333,    0.0000
 37772.376,    0.0000
 37772.418,    0.0000
 37772.460,    0.0000
 37772.500,    0.0000
 37772.543,    0.0000
 37772.584,    0.0000
 37772.627,    0.0000
 37772.667,    0.0000
 37772.709,    0.0000
 37772.752,    0.0000
 37772.793,    0.0000
 37772.834,    0.0000
 37772.876,    0.0000
 37772.918,    0.0000
 37772.958,    0.0000
 37773.000,    0.0000
 37773.042,    0.0000
 37773.084,    0.0000
 37773.126,    0.0000
 37773.169,    0.0000
 37773.209,    0.0000
 37773.250,    0.0000
 37773.292,    0.0000
 37773.333,    0.0000
 37773.377,    0.0000
 37773.417,    0.0000
 37773.459,    0.0000
 37773.500,    0.0000
 37773.544,    0.0000
 37773.585,    0.0000
 37773.627,    0.0000
 37773.667,    0.0000
 37773.710,    0.0000
 37773.752,    0.0000
 37773.793,    0.0000
 37773.835,    0.0000
 37773.875,    0.0000
 37773.917,    0.0000
 37773.960,    0.0000
 37774.000,    0.0000
 37774.043,    0.0000
 37774.085,    0.0000
 37774.127,    0.0000
 37774.168,    0.0000
 37774.210,    0.0000
 37774.250,    0.0000
 37774.292,    0.0000
 37774.335,    0.0000
 37774.376,    0.0000
 37774.419,    0.0000
 37774.458,    0.0000
 37774.500,    0.0000
 37774.543,    0.0000
 37774.585,    0.0000
 37774.626,    0.0000
 37774.668,    0.0000
 37774.709,    0.0000
 37774.750,    0.0000
 37774.794,    0.0000
 37774.836,    0.0000
 37774.876,    0.0000
 37774.918,    0.0000
 37774.958,    0.0000
 37775.000,    0.0000
 37775.042,    0.0000
 37775.085,    0.0000
 37775.125,    0.0000
 37775.167,    0.0000
 37775.210,    0.0000
 37775.250,    0.0000
 37775.292,    0.0000
 37775.334,    0.0000
 37775.377,    0.0000
 37775.419,    0.0000
 37775.460,    0.0000
 37775.500,    0.0000
 37775.543,    0.0000
 37775.584,    0.0000
 37775.625,    0.0000
 37775.667,    0.0000
 37775.710,    0.0000
 37775.752,    0.0000
 37775.793,    0.0000
 37775.835,    0.0000
 37775.876,    0.0000
 37775.917,    0.0000
 37775.958,    0.0000
 37776.000,    0.0000
 37776.042,    0.0000
 37776.085,    0.0000
 37776.126,    0.0000
 37776.167,    0.0000
 37776.209,    0.0000
 37776.250,    0.0000
 37776.292,    0.0000
 37776.334,    0.0000
 37776.377,    0.0000
 37776.418,    0.0000
 37776.459,    0.0000
 37776.500,    0.0000
 37776.543,    0.0000
 37776.584,    0.0000
 37776.626,    0.0000
 37776.668,    0.0000
 37776.709,    0.0000
 37776.750,    0.0000
 37776.793,    0.0000
 37776.835,    0.0000
