$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,QWD(m3s-1)
 37779.917,   10.8185
 37779.959,   10.8341
 37780.000,   10.8496
 37780.042,   10.8588
 37780.085,   10.8681
 37780.127,   10.8773
 37780.167,   10.8863
 37780.210,   10.8957
 37780.250,   10.9045
 37780.293,   10.9138
 37780.335,   10.9230
 37780.376,   10.9322
 37780.418,   10.9416
 37780.459,   10.9504
 37780.500,   10.9597
 37780.544,   10.9691
 37780.584,   10.9779
 37780.626,   10.9872
 37780.668,   10.9965
 37780.709,   11.0055
 37780.752,   11.0149
 37780.793,   11.0238
 37780.835,   11.0331
 37780.877,   11.0424
 37780.917,   11.0511
 37780.960,   11.0606
 37781.000,   11.0695
 37781.043,   11.1220
 37781.085,   11.1773
 37781.125,   11.2289
 37781.167,   11.2834
 37781.210,   11.3406
 37781.250,   11.3930
 37781.293,   11.4470
 37781.336,   11.5031
 37781.377,   11.5561
 37781.417,   11.6088
 37781.459,   11.6633
 37781.500,   11.7170
 37781.544,   11.7734
 37781.584,   11.8254
 37781.627,   11.8817
 37781.668,   11.9353
 37781.710,   11.9901
 37781.750,   12.0421
 37781.792,   12.0969
 37781.836,   12.1531
 37781.876,   12.2058
 37781.919,   12.2613
 37781.960,   12.3152
 37782.000,   12.3695
 37782.043,   12.4972
 37782.085,   12.6319
 37782.127,   12.7661
 37782.168,   12.8957
 37782.209,   13.0256
 37782.250,   13.1600
 37782.293,   13.2922
 37782.335,   13.4265
 37782.377,   13.5621
 37782.418,   13.6924
 37782.459,   13.8222
 37782.500,   13.9553
 37782.544,   14.0900
 37782.584,   14.2194
 37782.627,   14.3546
 37782.667,   14.4830
 37782.710,   14.6213
 37782.750,   14.7469
 37782.794,   14.8857
 37782.834,   15.0138
 37782.875,   15.1456
 37782.918,   15.2806
 37782.959,   15.4118
 37783.000,   15.5436
 37783.043,   15.4228
 37783.086,   15.2868
 37783.128,   15.1540
 37783.168,   15.0237
 37783.210,   14.8876
 37783.250,   14.7559
 37783.293,   14.6278
 37783.334,   14.4969
 37783.377,   14.3608
 37783.419,   14.2252
 37783.460,   14.0936
 37783.500,   13.9650
 37783.542,   13.8360
 37783.585,   13.6985
 37783.626,   13.5689
 37783.669,   13.4306
 37783.709,   13.3049
 37783.751,   13.1701
 37783.793,   13.0360
 37783.836,   12.9008
 37783.876,   12.7731
 37783.919,   12.6379
 37783.960,   12.5049
 37784.003,   12.3700
 37784.043,   12.3180
 37784.086,   12.2622
 37784.125,   12.2109
 37784.167,   12.1567
 37784.210,   12.1005
 37784.252,   12.0450
 37784.292,   11.9930
 37784.334,   11.9385
 37784.377,   11.8826
 37784.419,   11.8294
 37784.460,   11.7757
 37784.503,   11.7200
 37784.544,   11.6671
 37784.585,   11.6132
 37784.627,   11.5586
 37784.667,   11.5064
 37784.709,   11.4526
 37784.750,   11.3984
 37784.793,   11.3425
 37784.836,   11.2869
 37784.876,   11.2346
 37784.918,   11.1801
 37784.961,   11.1249
 37785.003,   11.0700
 37785.043,   11.0700
 37785.086,   11.0700
 37785.126,   11.0700
 37785.170,   11.0700
 37785.209,   11.0700
 37785.253,   11.0700
 37785.293,   11.0700
 37785.335,   11.0700
 37785.376,   11.0700
 37785.417,   11.0700
 37785.460,   11.0700
 37785.503,   11.0700
 37785.544,   11.0700
 37785.584,   11.0700
 37785.626,   11.0700
 37785.667,   11.0700
 37785.710,   11.0700
 37785.751,   11.0700
 37785.794,   11.0700
 37785.834,   11.0700
 37785.877,   11.0700
 37785.920,   11.0700
 37785.961,   11.0700
 37786.003,   11.0700
 37786.043,   11.0700
 37786.083,   11.0700
 37786.128,   11.0700
 37786.167,   11.0700
 37786.209,   11.0700
 37786.253,   11.0700
 37786.294,   11.0700
 37786.337,   11.0700
 37786.376,   11.0700
 37786.418,   11.0700
 37786.460,   11.0700
 37786.504,   11.0700
 37786.543,   11.0700
 37786.586,   11.0700
 37786.628,   11.0700
 37786.670,   11.0700
 37786.710,   11.0700
 37786.753,   11.0700
 37786.793,   11.0700
 37786.834,   11.0700
 37786.876,   11.0700
 37786.917,   11.0700
 37786.960,   11.0700
 37787.004,   11.0700
 37787.044,   11.0688
 37787.084,   11.0676
 37787.127,   11.0663
 37787.169,   11.0651
 37787.209,   11.0639
 37787.253,   11.0625
 37787.294,   11.0613
 37787.336,   11.0600
 37787.378,   11.0588
 37787.418,   11.0576
 37787.460,   11.0563
 37787.503,   11.0550
 37787.542,   11.0538
 37787.584,   11.0526
 37787.628,   11.0513
 37787.668,   11.0501
 37787.709,   11.0488
 37787.751,   11.0476
 37787.793,   11.0463
 37787.834,   11.0451
 37787.877,   11.0438
 37787.917,   11.0426
 37787.961,   11.0413
 37788.002,   11.0400
 37788.043,   11.0332
 37788.084,   11.0264
 37788.129,   11.0187
 37788.169,   11.0118
 37788.210,   11.0047
 37788.251,   10.9975
 37788.294,   10.9907
 37788.335,   10.9837
 37788.377,   10.9765
 37788.418,   10.9696
 37788.460,   10.9623
 37788.504,   10.9550
 37788.545,   10.9479
 37788.586,   10.9409
 37788.625,   10.9341
 37788.669,   10.9267
 37788.710,   10.9198
 37788.751,   10.9129
 37788.792,   10.9058
 37788.835,   10.8986
 37788.876,   10.8917
 37788.918,   10.8845
 37788.959,   10.8773
 37789.003,   10.8700
 37789.044,   10.8544
 37789.084,   10.8388
 37789.128,   10.8216
 37789.167,   10.8062
 37789.210,   10.7894
 37789.253,   10.7725
 37789.293,   10.7569
 37789.334,   10.7409
 37789.376,   10.7247
 37789.419,   10.7079
 37789.459,   10.6919
 37789.504,   10.6750
 37789.542,   10.6601
 37789.584,   10.6431
 37789.628,   10.6263
 37789.668,   10.6106
 37789.709,   10.5943
 37789.751,   10.5778
 37789.792,   10.5617
 37789.834,   10.5454
 37789.877,   10.5288
 37789.920,   10.5126
 37789.958,   10.4973
 37790.003,   10.4800
 37790.042,   10.4800
 37790.084,   10.4800
 37790.126,   10.4800
 37790.170,   10.4800
 37790.210,   10.4800
 37790.253,   10.4800
 37790.293,   10.4800
 37790.335,   10.4800
 37790.376,   10.4800
 37790.419,   10.4800
 37790.459,   10.4800
 37790.503,   10.4800
 37790.543,   10.4800
 37790.585,   10.4800
 37790.627,   10.4800
 37790.667,   10.4800
 37790.710,   10.4800
 37790.751,   10.4800
 37790.794,   10.4800
 37790.834,   10.4800
 37790.876,   10.4800
 37790.919,   10.4800
 37790.962,   10.4800
 37791.004,   10.4800
 37791.043,   10.4800
 37791.086,   10.4800
 37791.127,   10.4800
 37791.167,   10.4800
 37791.210,   10.4800
 37791.253,   10.4800
 37791.293,   10.4800
 37791.337,   10.4800
 37791.377,   10.4800
 37791.418,   10.4800
 37791.460,   10.4800
 37791.502,   10.4800
 37791.543,   10.4800
 37791.586,   10.4800
 37791.626,   10.4800
 37791.667,   10.4800
 37791.709,   10.4800
 37791.752,   10.4800
 37791.793,   10.4800
 37791.834,   10.4800
 37791.878,   10.4800
 37791.917,   10.4800
 37791.959,   10.4800
 37792.003,   10.4800
 37792.042,   10.4948
 37792.086,   10.5107
 37792.126,   10.5254
 37792.169,   10.5413
 37792.209,   10.5564
 37792.253,   10.5725
 37792.292,   10.5873
 37792.334,   10.6027
 37792.377,   10.6185
 37792.418,   10.6337
 37792.459,   10.6487
 37792.503,   10.6650
 37792.542,   10.6798
 37792.586,   10.6956
 37792.625,   10.7103
 37792.669,   10.7266
 37792.710,   10.7419
 37792.752,   10.7571
 37792.793,   10.7725
 37792.836,   10.7883
 37792.876,   10.8032
 37792.919,   10.8189
 37792.959,   10.8337
 37793.003,   10.8500
 37793.043,   10.8576
 37793.085,   10.8657
 37793.126,   10.8734
 37793.167,   10.8813
 37793.209,   10.8893
 37793.253,   10.8975
 37793.293,   10.9051
 37793.334,   10.9129
 37793.376,   10.9209
 37793.418,   10.9289
 37793.460,   10.9370
 37793.502,   10.9450
 37793.542,   10.9525
 37793.584,   10.9605
 37793.627,   10.9686
 37793.668,   10.9765
 37793.708,   10.9841
 37793.750,   10.9921
 37793.793,   11.0002
 37793.835,   11.0082
 37793.877,   11.0162
 37793.917,   11.0238
 37793.959,   11.0318
 37794.002,   11.0400
 37794.042,   11.0400
 37794.085,   11.0400
 37794.125,   11.0400
 37794.167,   11.0400
 37794.210,   11.0400
 37794.252,   11.0400
 37794.292,   11.0400
 37794.334,   11.0400
 37794.375,   11.0400
 37794.417,   11.0400
 37794.460,   11.0400
 37794.502,   11.0400
 37794.544,   11.0400
 37794.585,   11.0400
 37794.627,   11.0400
 37794.667,   11.0400
 37794.709,   11.0400
 37794.751,   11.0400
 37794.792,   11.0400
 37794.834,   11.0400
 37794.876,   11.0400
 37794.918,   11.0400
 37794.960,   11.0400
 37795.002,   11.0400
 37795.042,   11.0400
 37795.084,   11.0400
 37795.126,   11.0400
 37795.168,   11.0400
 37795.210,   11.0400
 37795.252,   11.0400
 37795.292,   11.0400
 37795.334,   11.0400
 37795.377,   11.0400
 37795.417,   11.0400
 37795.460,   11.0400
 37795.502,   11.0400
 37795.544,   11.0400
 37795.585,   11.0400
 37795.627,   11.0400
 37795.667,   11.0400
 37795.709,   11.0400
 37795.751,   11.0400
 37795.793,   11.0400
 37795.835,   11.0400
 37795.877,   11.0400
 37795.917,   11.0400
 37795.959,   11.0400
 37796.002,   11.0400
 37796.042,   11.0400
 37796.084,   11.0400
 37796.125,   11.0400
 37796.167,   11.0400
 37796.209,   11.0400
 37796.252,   11.0400
 37796.292,   11.0400
 37796.334,   11.0400
 37796.375,   11.0400
 37796.418,   11.0400
 37796.460,   11.0400
 37796.502,   11.0400
 37796.542,   11.0400
 37796.584,   11.0400
 37796.626,   11.0400
 37796.668,   11.0400
 37796.710,   11.0400
 37796.751,   11.0400
 37796.792,   11.0400
 37796.834,   11.0400
 37796.876,   11.0400
 37796.917,   11.0400
 37796.959,   11.0400
 37797.002,   11.0400
 37797.042,   11.0400
 37797.084,   11.0400
 37797.126,   11.0400
 37797.167,   11.0400
 37797.210,   11.0400
 37797.252,   11.0400
 37797.292,   11.0400
 37797.335,   11.0400
 37797.376,   11.0400
 37797.418,   11.0400
 37797.460,   11.0400
 37797.502,   11.0400
 37797.544,   11.0400
 37797.585,   11.0400
