 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37800.042,   1,  0.34558720E+09,   0.00000000E+00,  -0.39799053E+09,   0.00000000E+00,   0.00000000E+00,  -0.53853988E+07,   0.00000000E+00,   0.00000000E+00,   0.51351064E-10,
 37801.044,   1,  0.35122316E+09,   0.00000000E+00,  -0.40808198E+09,   0.00000000E+00,   0.00000000E+00,  -0.55465772E+07,   0.00000000E+00,   0.00000000E+00,   0.48483118E-10,
 37802.043,   1,  0.35733486E+09,   0.00000000E+00,  -0.41779923E+09,   0.00000000E+00,   0.00000000E+00,  -0.56752873E+07,   0.00000000E+00,   0.00000000E+00,   0.50860044E-10,
 37803.044,   1,  0.36446714E+09,   0.00000000E+00,  -0.42877409E+09,   0.00000000E+00,   0.00000000E+00,  -0.58107278E+07,   0.00000000E+00,   0.00000000E+00,   0.45052498E-10,
 37804.045,   1,  0.37277036E+09,   0.00000000E+00,  -0.44115090E+09,   0.00000000E+00,   0.00000000E+00,  -0.59924846E+07,   0.00000000E+00,   0.00000000E+00,   0.36824910E-10,
 37805.043,   1,  0.38013758E+09,   0.00000000E+00,  -0.45388795E+09,   0.00000000E+00,   0.00000000E+00,  -0.61761135E+07,   0.00000000E+00,   0.00000000E+00,   0.36372780E-10,
 37806.044,   1,  0.38673446E+09,   0.00000000E+00,  -0.46645369E+09,   0.00000000E+00,   0.00000000E+00,  -0.63495829E+07,   0.00000000E+00,   0.00000000E+00,   0.33517150E-10,
 37807.044,   1,  0.39358469E+09,   0.00000000E+00,  -0.47810238E+09,   0.00000000E+00,   0.00000000E+00,  -0.65304224E+07,   0.00000000E+00,   0.00000000E+00,   0.30457058E-10,
 37808.044,   1,  0.40113085E+09,   0.00000000E+00,  -0.48864269E+09,   0.00000000E+00,   0.00000000E+00,  -0.67143714E+07,   0.00000000E+00,   0.00000000E+00,   0.28275720E-10,
 37809.044,   1,  0.40918635E+09,   0.00000000E+00,  -0.49927958E+09,   0.00000000E+00,   0.00000000E+00,  -0.13615589E+06,   0.00000000E+00,   0.00000000E+00,   0.30239498E-10,
 37810.043,   1,  0.41657883E+09,   0.00000000E+00,  -0.51129227E+09,   0.00000000E+00,   0.00000000E+00,  -0.28172137E+07,   0.00000000E+00,   0.00000000E+00,   0.29928666E-10,
 37811.044,   1,  0.42240450E+09,   0.00000000E+00,  -0.52317928E+09,   0.00000000E+00,   0.00000000E+00,  -0.98354030E+07,   0.00000000E+00,   0.00000000E+00,   0.26592871E-10,
 37812.043,   1,  0.42779325E+09,   0.00000000E+00,  -0.53577272E+09,   0.00000000E+00,   0.00000000E+00,  -0.99695724E+07,   0.00000000E+00,   0.00000000E+00,   0.22739988E-10,
 37813.043,   1,  0.43274452E+09,   0.00000000E+00,  -0.54955078E+09,   0.00000000E+00,   0.00000000E+00,  -0.10111289E+08,   0.00000000E+00,   0.00000000E+00,   0.18761444E-10,
 37814.043,   1,  0.43696905E+09,   0.00000000E+00,  -0.56253260E+09,   0.00000000E+00,   0.00000000E+00,  -0.10256605E+08,   0.00000000E+00,   0.00000000E+00,   0.15513101E-10,
 37815.043,   1,  0.44142621E+09,   0.00000000E+00,  -0.57393971E+09,   0.00000000E+00,   0.00000000E+00,  -0.10412486E+08,   0.00000000E+00,   0.00000000E+00,   0.11426555E-10,
 37816.043,   1,  0.44625820E+09,   0.00000000E+00,  -0.58461550E+09,   0.00000000E+00,   0.00000000E+00,  -0.10561975E+08,   0.00000000E+00,   0.00000000E+00,   0.77847438E-11,
 37817.044,   1,  0.45160228E+09,   0.00000000E+00,  -0.59608904E+09,   0.00000000E+00,   0.00000000E+00,  -0.10708796E+08,   0.00000000E+00,   0.00000000E+00,   0.77771431E-11,
 37818.044,   1,  0.45635327E+09,   0.00000000E+00,  -0.60849171E+09,   0.00000000E+00,   0.00000000E+00,  -0.10848430E+08,   0.00000000E+00,   0.00000000E+00,   0.50831765E-11,
 37819.043,   1,  0.46019766E+09,   0.00000000E+00,  -0.62131256E+09,   0.00000000E+00,   0.00000000E+00,  -0.10988954E+08,   0.00000000E+00,   0.00000000E+00,   0.51948652E-11,
 37820.043,   1,  0.46443089E+09,   0.00000000E+00,  -0.63428958E+09,   0.00000000E+00,   0.00000000E+00,  -0.11129473E+08,   0.00000000E+00,   0.00000000E+00,   0.30297969E-11,
 37821.043,   1,  0.46906092E+09,   0.00000000E+00,  -0.64638458E+09,   0.00000000E+00,   0.00000000E+00,  -0.11270564E+08,   0.00000000E+00,   0.00000000E+00,   0.10903528E-11,
 37822.043,   1,  0.47357859E+09,   0.00000000E+00,  -0.65633351E+09,   0.00000000E+00,   0.00000000E+00,  -0.11412115E+08,   0.00000000E+00,   0.00000000E+00,  -0.43743870E-11,
 37823.044,   1,  0.47778600E+09,   0.00000000E+00,  -0.66535112E+09,   0.00000000E+00,   0.00000000E+00,  -0.11558382E+08,   0.00000000E+00,   0.00000000E+00,  -0.11524296E-11,
 37824.044,   1,  0.48215765E+09,   0.00000000E+00,  -0.67495112E+09,   0.00000000E+00,   0.00000000E+00,  -0.11706161E+08,   0.00000000E+00,   0.00000000E+00,  -0.28417679E-11,
 37825.044,   1,  0.48719341E+09,   0.00000000E+00,  -0.68510496E+09,   0.00000000E+00,   0.00000000E+00,  -0.11861727E+08,   0.00000000E+00,   0.00000000E+00,  -0.11649585E-11,
 37826.044,   1,  0.49289981E+09,   0.00000000E+00,  -0.69560466E+09,   0.00000000E+00,   0.00000000E+00,  -0.12020959E+08,   0.00000000E+00,   0.00000000E+00,  -0.14017958E-11,
 37827.043,   1,  0.49867554E+09,   0.00000000E+00,  -0.70620551E+09,   0.00000000E+00,   0.00000000E+00,  -0.12156772E+08,   0.00000000E+00,   0.00000000E+00,   0.29708995E-11,
 37828.043,   1,  0.50361974E+09,   0.00000000E+00,  -0.71564588E+09,   0.00000000E+00,   0.00000000E+00,  -0.12261673E+08,   0.00000000E+00,   0.00000000E+00,   0.57667648E-11,
 37829.043,   1,  0.50792316E+09,   0.00000000E+00,  -0.72332515E+09,   0.00000000E+00,   0.00000000E+00,  -0.12371160E+08,   0.00000000E+00,   0.00000000E+00,   0.72486303E-11,
 37830.044,   1,  0.51159586E+09,   0.00000000E+00,  -0.73062193E+09,   0.00000000E+00,   0.00000000E+00,  -0.12490489E+08,   0.00000000E+00,   0.00000000E+00,   0.68096040E-11,
 37831.043,   1,  0.51509724E+09,   0.00000000E+00,  -0.73913974E+09,   0.00000000E+00,   0.00000000E+00,  -0.12620324E+08,   0.00000000E+00,   0.00000000E+00,   0.51629936E-11,
 37832.043,   1,  0.51874174E+09,   0.00000000E+00,  -0.74886715E+09,   0.00000000E+00,   0.00000000E+00,  -0.12753775E+08,   0.00000000E+00,   0.00000000E+00,   0.55093953E-11,
 37833.044,   1,  0.52292349E+09,   0.00000000E+00,  -0.75869974E+09,   0.00000000E+00,   0.00000000E+00,  -0.12849740E+08,   0.00000000E+00,   0.00000000E+00,   0.34881396E-11,
 37834.044,   1,  0.52772088E+09,   0.00000000E+00,  -0.76782497E+09,   0.00000000E+00,   0.00000000E+00,  -0.12945974E+08,   0.00000000E+00,   0.00000000E+00,   0.91862207E-12,
 37835.044,   1,  0.53281303E+09,   0.00000000E+00,  -0.77629781E+09,   0.00000000E+00,   0.00000000E+00,  -0.13069709E+08,   0.00000000E+00,   0.00000000E+00,  -0.12080982E-11,
 37836.044,   1,  0.53722373E+09,   0.00000000E+00,  -0.78382776E+09,   0.00000000E+00,   0.00000000E+00,  -0.13205374E+08,   0.00000000E+00,   0.00000000E+00,  -0.22941600E-12,
 37837.044,   1,  0.54116306E+09,   0.00000000E+00,  -0.79084682E+09,   0.00000000E+00,   0.00000000E+00,  -0.13339706E+08,   0.00000000E+00,   0.00000000E+00,  -0.52120892E-12,
 37838.044,   1,  0.54566518E+09,   0.00000000E+00,  -0.79851157E+09,   0.00000000E+00,   0.00000000E+00,  -0.13474988E+08,   0.00000000E+00,   0.00000000E+00,  -0.12309359E-12,
 37839.044,   1,  0.55024914E+09,   0.00000000E+00,  -0.80713826E+09,   0.00000000E+00,   0.00000000E+00,  -0.13621849E+08,   0.00000000E+00,   0.00000000E+00,   0.13000051E-11,
 37840.043,   1,  0.55503734E+09,   0.00000000E+00,  -0.81603384E+09,   0.00000000E+00,   0.00000000E+00,  -0.13765906E+08,   0.00000000E+00,   0.00000000E+00,   0.19740708E-11,
 37841.044,   1,  0.56068625E+09,   0.00000000E+00,  -0.82460702E+09,   0.00000000E+00,   0.00000000E+00,  -0.13900024E+08,   0.00000000E+00,   0.00000000E+00,   0.31537820E-11,
 37842.044,   1,  0.56660403E+09,   0.00000000E+00,  -0.83226322E+09,   0.00000000E+00,   0.00000000E+00,  -0.14022478E+08,   0.00000000E+00,   0.00000000E+00,   0.21098468E-11,
 37843.044,   1,  0.57329101E+09,   0.00000000E+00,  -0.83868899E+09,   0.00000000E+00,   0.00000000E+00,  -0.14145276E+08,   0.00000000E+00,   0.00000000E+00,   0.20469296E-11,
 37844.043,   1,  0.58003873E+09,   0.00000000E+00,  -0.84475108E+09,   0.00000000E+00,   0.00000000E+00,  -0.14263598E+08,   0.00000000E+00,   0.00000000E+00,   0.20938196E-11,
 37845.044,   1,  0.58618294E+09,   0.00000000E+00,  -0.85161404E+09,   0.00000000E+00,   0.00000000E+00,  -0.14375868E+08,   0.00000000E+00,   0.00000000E+00,   0.47290503E-11,
 37846.045,   1,  0.59215953E+09,   0.00000000E+00,  -0.85887065E+09,   0.00000000E+00,   0.00000000E+00,  -0.14497510E+08,   0.00000000E+00,   0.00000000E+00,   0.66554989E-11,
 37847.044,   1,  0.59731966E+09,   0.00000000E+00,  -0.86607076E+09,   0.00000000E+00,   0.00000000E+00,  -0.14628895E+08,   0.00000000E+00,   0.00000000E+00,   0.60365896E-11,
 37848.044,   1,  0.60133241E+09,   0.00000000E+00,  -0.87332896E+09,   0.00000000E+00,   0.00000000E+00,  -0.14743109E+08,   0.00000000E+00,   0.00000000E+00,   0.61529389E-11,
 37849.045,   1,  0.60603397E+09,   0.00000000E+00,  -0.88033463E+09,   0.00000000E+00,   0.00000000E+00,  -0.14842120E+08,   0.00000000E+00,   0.00000000E+00,   0.50504878E-11,
 37850.045,   1,  0.61136259E+09,   0.00000000E+00,  -0.88652622E+09,   0.00000000E+00,   0.00000000E+00,  -0.14901321E+08,   0.00000000E+00,   0.00000000E+00,   0.60413200E-11,
 37851.044,   1,  0.61639192E+09,   0.00000000E+00,  -0.89220410E+09,   0.00000000E+00,   0.00000000E+00,  -0.14899650E+08,   0.00000000E+00,   0.00000000E+00,   0.55973168E-11,
 37852.044,   1,  0.62219583E+09,   0.00000000E+00,  -0.89856210E+09,   0.00000000E+00,   0.00000000E+00,  -0.14955439E+08,   0.00000000E+00,   0.00000000E+00,   0.51559348E-11,
 37853.044,   1,  0.62849878E+09,   0.00000000E+00,  -0.90584306E+09,   0.00000000E+00,   0.00000000E+00,  -0.15075418E+08,   0.00000000E+00,   0.00000000E+00,   0.46473742E-11,
 37854.044,   1,  0.63464966E+09,   0.00000000E+00,  -0.91332519E+09,   0.00000000E+00,   0.00000000E+00,  -0.15169767E+08,   0.00000000E+00,   0.00000000E+00,   0.30832196E-11,
 37855.044,   1,  0.64074557E+09,   0.00000000E+00,  -0.92068279E+09,   0.00000000E+00,   0.00000000E+00,  -0.15246804E+08,   0.00000000E+00,   0.00000000E+00,   0.42000083E-11,
 37856.044,   1,  0.64592883E+09,   0.00000000E+00,  -0.92746786E+09,   0.00000000E+00,   0.00000000E+00,  -0.15325041E+08,   0.00000000E+00,   0.00000000E+00,   0.46179534E-11,
 37857.044,   1,  0.65055689E+09,   0.00000000E+00,  -0.93342934E+09,   0.00000000E+00,   0.00000000E+00,  -0.15410771E+08,   0.00000000E+00,   0.00000000E+00,   0.32771389E-11,
 37858.044,   1,  0.65510491E+09,   0.00000000E+00,  -0.93919733E+09,   0.00000000E+00,   0.00000000E+00,  -0.15517757E+08,   0.00000000E+00,   0.00000000E+00,   0.53117093E-11,
