$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37420.336,   11.73
 37420.379,   11.74
 37420.422,   11.74
 37420.465,   11.74
 37420.508,   11.74
 37420.550,   11.73
 37420.593,   11.73
 37420.637,   11.72
 37420.679,   11.72
 37420.723,   11.72
 37420.765,   11.72
 37420.809,   11.72
 37420.852,   11.71
 37420.895,   11.71
 37420.938,   11.71
 37420.981,   11.71
 37421.023,   11.71
 37421.067,   11.71
 37421.110,   11.71
 37421.152,   11.71
 37421.196,   11.71
 37421.239,   11.72
 37421.282,   11.72
 37421.325,   11.72
 37421.367,   11.73
 37421.411,   11.73
 37421.454,   11.73
 37421.496,   11.73
 37421.540,   11.74
 37421.583,   11.74
 37421.625,   11.74
 37421.669,   11.75
 37421.711,   11.75
 37421.755,   11.75
 37421.797,   11.75
 37421.840,   11.75
 37421.884,   11.76
 37421.927,   11.76
 37421.969,   11.76
 37422.013,   11.77
 37422.056,   11.77
 37422.098,   11.77
 37422.141,   11.78
 37422.184,   11.78
 37422.227,   11.79
 37422.270,   11.79
 37422.314,   11.79
 37422.357,   11.80
 37422.399,   11.80
 37422.443,   11.79
 37422.486,   11.79
 37422.529,   11.79
 37422.571,   11.79
 37422.615,   11.79
 37422.657,   11.79
 37422.702,   11.78
 37422.744,   11.78
 37422.788,   11.78
 37422.830,   11.78
 37422.873,   11.78
 37422.915,   11.78
 37422.959,   11.78
 37423.002,   11.78
 37423.045,   11.78
 37423.088,   11.78
 37423.130,   11.78
 37423.173,   11.78
 37423.217,   11.78
 37423.260,   11.78
 37423.303,   11.78
 37423.347,   11.78
 37423.388,   11.78
 37423.431,   11.78
 37423.474,   11.79
 37423.517,   11.79
 37423.560,   11.79
 37423.603,   11.79
 37423.646,   11.79
 37423.689,   11.79
 37423.732,   11.80
 37423.775,   11.80
 37423.818,   11.80
 37423.861,   11.80
 37423.904,   11.80
 37423.947,   11.81
 37423.991,   11.81
 37424.033,   11.81
 37424.077,   11.81
 37424.120,   11.81
 37424.162,   11.81
 37424.206,   11.81
 37424.248,   11.81
 37424.291,   11.81
 37424.334,   11.80
 37424.378,   11.80
 37424.420,   11.79
 37424.463,   11.79
 37424.506,   11.79
 37424.549,   11.79
 37424.593,   11.79
 37424.635,   11.79
 37424.678,   11.79
 37424.721,   11.79
 37424.765,   11.79
 37424.808,   11.80
 37424.851,   11.80
 37424.893,   11.80
 37424.937,   11.80
 37424.980,   11.80
 37425.023,   11.81
 37425.066,   11.81
 37425.109,   11.81
 37425.151,   11.82
 37425.194,   11.82
 37425.237,   11.82
 37425.280,   11.82
 37425.324,   11.82
 37425.367,   11.82
 37425.409,   11.82
 37425.452,   11.82
 37425.496,   11.82
 37425.539,   11.82
 37425.582,   11.81
 37425.625,   11.81
 37425.668,   11.81
 37425.710,   11.81
 37425.753,   11.81
 37425.796,   11.81
 37425.840,   11.81
 37425.883,   11.82
 37425.925,   11.82
 37425.968,   11.82
 37426.012,   11.82
 37426.054,   11.82
 37426.098,   11.82
 37426.141,   11.82
 37426.185,   11.82
 37426.227,   11.82
 37426.270,   11.82
 37426.312,   11.82
 37426.355,   11.82
 37426.399,   11.82
 37426.443,   11.82
 37426.485,   11.82
 37426.529,   11.82
 37426.571,   11.82
 37426.613,   11.82
 37426.658,   11.82
 37426.700,   11.82
 37426.744,   11.82
 37426.786,   11.82
 37426.828,   11.82
 37426.873,   11.83
 37426.915,   11.83
 37426.957,   11.83
 37427.000,   11.84
 37427.044,   11.84
 37427.086,   11.84
 37427.130,   11.84
 37427.174,   11.84
 37427.216,   11.84
 37427.259,   11.84
 37427.301,   11.84
 37427.346,   11.84
 37427.388,   11.85
 37427.432,   11.85
 37427.474,   11.85
 37427.518,   11.86
