DATE TIME,DAWT(C),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2024-11-21,15.6,,,,,,,
2024-11-22,15.45,,,,,,,
2024-11-23,15.38,,,,,,,
2024-11-24,15.1,,,,,,,
2024-11-25,14.76,,,,,,,
2024-11-26,14.39,,,,,,,
2024-11-27,14.28,,,,,,,
2024-11-28,13.97,,,,,,,
2024-11-29,13.84,,,,,,,
2024-11-30,13.7,,,,,,,
2024-12-01,13.71,,,,,,,
2024-12-02,13.54,,,,,,,
2024-12-03,13.42,,,,,,,
2024-12-04,13.35,,,,,,,
2024-12-05,13.3,,,,,,,
2024-12-06,13.25,,,,,,,
2024-12-07,13.19,,,,,,,
2024-12-08,13.07,,,,,,,
2024-12-09,13.12,,,,,,,
2024-12-10,12.99,,,,,,,
2024-12-11,12.74,,,,,,,
2024-12-12,12.77,,,,,,,
2024-12-13,12.79,,,,,,,
2024-12-14,12.79,,,,,,,
2024-12-15,12.56,,,,,,,
