DATE TIME,DAWT(C)
2024-05-28,9.02
2024-05-29,9.03
2024-05-30,9.03
2024-05-31,9.03
2024-06-01,9.05
2024-06-02,9.05
2024-06-03,9.04
2024-06-04,9.09
2024-06-05,9.05
2024-06-06,9.12
2024-06-07,9.12
2024-06-08,9.09
2024-06-09,9.1
2024-06-10,9.11
2024-06-11,9.1
2024-06-12,9.11
2024-06-13,9.11
2024-06-14,9.13
2024-06-15,9.14
2024-06-16,9.14
2024-06-17,9.16
2024-06-18,9.18
2024-06-19,9.18
2024-06-20,9.2
2024-06-21,9.19
2024-06-22,9.19
2024-06-23,9.22
2024-06-24,9.18
2024-06-25,9.25
2024-06-26,9.23
2024-06-27,9.23
2024-06-28,9.25
2024-06-29,9.28
2024-06-30,9.26
2024-07-01,9.3
2024-07-02,9.26
2024-07-03,9.28
2024-07-04,9.32
2024-07-05,9.32
2024-07-06,9.32
2024-07-07,9.37
2024-07-08,9.31
2024-07-09,9.38
2024-07-10,9.38
2024-07-11,9.36
2024-07-12,9.39
2024-07-13,9.41
2024-07-14,9.41
2024-07-15,9.43
2024-07-16,9.45
2024-07-17,9.46
2024-07-18,9.5
2024-07-19,9.48
2024-07-20,9.52
2024-07-21,9.52
2024-07-22,9.53
2024-07-23,9.57
2024-07-24,9.57
2024-07-25,9.61
2024-07-26,9.6
2024-07-27,9.65
2024-07-28,9.69
2024-07-29,9.7
2024-07-30,9.68
2024-07-31,9.78
2024-08-01,9.78
2024-08-02,9.8
2024-08-03,9.83
2024-08-04,9.9
2024-08-05,9.92
2024-08-06,9.91
2024-08-07,9.98
2024-08-08,10.02
2024-08-09,10.04
2024-08-10,10.07
2024-08-11,10.14
2024-08-12,10.16
2024-08-13,10.22
2024-08-14,10.23
2024-08-15,10.29
2024-08-16,10.38
2024-08-17,10.58
2024-08-18,10.48
2024-08-19,10.67
2024-08-20,10.64
2024-08-21,10.7
2024-08-22,10.87
2024-08-23,10.86
2024-08-24,10.98
2024-08-25,11.07
2024-08-26,11.26
2024-08-27,11.09
2024-08-28,11.32
2024-08-29,11.4
2024-08-30,11.45
2024-08-31,11.52
2024-09-01,11.63
2024-09-02,11.69
2024-09-03,11.81
2024-09-04,11.96
2024-09-05,12.02
2024-09-06,12.04
2024-09-07,12.24
2024-09-08,12.25
2024-09-09,12.3
2024-09-10,12.46
2024-09-11,12.69
2024-09-12,12.85
2024-09-13,13.07
2024-09-14,13.17
2024-09-15,13.2
2024-09-16,13.32
2024-09-17,13.45
2024-09-18,13.53
2024-09-19,13.59
2024-09-20,13.76
2024-09-21,13.87
2024-09-22,13.97
2024-09-23,14.1
2024-09-24,14.1
2024-09-25,14.35
2024-09-26,14.31
2024-09-27,14.49
2024-09-28,14.6
2024-09-29,14.74
2024-09-30,14.78
2024-10-01,14.9
2024-10-02,15.06
2024-10-03,15.16
2024-10-04,15.21
2024-10-05,15.53
2024-10-06,15.47
2024-10-07,15.67
2024-10-08,15.8
2024-10-09,15.87
2024-10-10,15.99
2024-10-11,16.09
2024-10-12,16.22
2024-10-13,16.31
2024-10-14,16.36
2024-10-15,16.46
2024-10-16,16.61
2024-10-17,16.63
2024-10-18,16.78
2024-10-19,17.01
2024-10-20,16.76
2024-10-21,16.93
2024-10-22,17.15
2024-10-23,16.96
2024-10-24,17.3
2024-10-25,17.23
2024-10-26,16.98
2024-10-27,17.0
2024-10-28,16.69
2024-10-29,17.01
2024-10-30,16.77
2024-10-31,16.86
2024-11-01,16.84
2024-11-02,16.6
2024-11-03,16.43
2024-11-04,16.42
2024-11-05,16.18
2024-11-06,16.1
2024-11-07,16.04
2024-11-08,15.87
2024-11-09,15.85
2024-11-10,15.74
2024-11-11,15.26
2024-11-12,16.1
2024-11-13,15.73
2024-11-14,15.29
2024-11-15,15.14
2024-11-16,15.3
2024-11-17,15.41
2024-11-18,14.81
2024-11-19,15.01
2024-11-20,14.63
2024-11-21,14.58
2024-11-22,14.2
2024-11-23,14.19
2024-11-24,14.36
2024-11-25,13.55
2024-11-26,13.83
2024-11-27,13.74
2024-11-28,13.41
2024-11-29,13.37
2024-11-30,13.2
2024-12-01,13.04
2024-12-02,12.98
2024-12-03,12.89
2024-12-04,12.77
2024-12-05,12.69
2024-12-06,12.7
2024-12-07,12.61
2024-12-08,12.64
2024-12-09,12.51
2024-12-10,12.41
2024-12-11,12.31
2024-12-12,12.23
2024-12-13,12.31
2024-12-14,11.92
2024-12-15,12.3
