,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/4/2020 11:00,36163.46,19.44,9.84,0.89,3.4,4.41,477
1/4/2020 12:00,36163.5,20,9.21,0.45,4.17,4.34,459
1/4/2020 13:00,36163.55,20,7.32,0.45,2.09,3.82,427
1/4/2020 14:00,36163.59,19.44,6.48,1.34,4.07,4.87,315
1/4/2020 15:00,36163.63,18.33,5.47,0.89,4.07,4.87,143
1/4/2020 16:00,36163.67,15.56,4.51,0.89,3.68,4.88,43
1/4/2020 17:00,36163.71,13.33,4.14,0.45,4.26,4.88,4
1/4/2020 18:00,36163.76,12.22,4.61,0.89,3.44,4.88,4
1/4/2020 19:00,36163.8,11.11,4.72,0.89,1.87,4.89,4
1/4/2020 20:00,36163.84,10,3.66,0.89,2.13,4.89,4
1/4/2020 21:00,36163.88,10,4.52,2.24,1.1,4.89,4
1/4/2020 22:00,36163.92,8.89,3.86,2.68,1.13,4.9,4
1/4/2020 23:00,36163.97,7.78,3.38,3.13,1.05,5.25,4
1/5/2020 0:00,36164,9.44,4.6,3.13,1.03,4.9,4
1/5/2020 1:00,36164.04,8.89,3.86,1.79,1.08,4.91,4
1/5/2020 2:00,36164.08,8.89,4.06,4.47,1.19,4.91,4
1/5/2020 3:00,36164.13,8.33,3.72,3.58,1.47,4.91,4
1/5/2020 4:00,36164.17,8.89,4.26,1.79,1.59,4.92,4
1/5/2020 5:00,36164.21,7.22,3.41,1.34,0.58,4.92,4
1/5/2020 6:00,36164.25,7.78,4.14,1.34,1.38,4.92,4
1/5/2020 7:00,36164.29,6.67,3.24,2.24,1.45,4.93,26
1/5/2020 8:00,36164.34,8.89,4.84,1.79,1.57,4.93,146
1/5/2020 9:00,36164.38,12.22,6.86,1.79,1.19,4.93,284
1/5/2020 10:00,36164.42,14.44,8.12,0.89,3.94,4.94,400
1/5/2020 11:00,36164.46,18.89,9.33,0.89,4.19,4.94,457
1/5/2020 12:00,36164.5,20,9.21,0.89,3.04,4.94,441
