,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/4/2020 11:00,36163.46,12.78,8.81,1.34,2.41,9.97,16
1/4/2020 12:00,36163.5,14.44,7.89,1.34,2.91,10,18
1/4/2020 13:00,36163.55,12.22,8.84,2.68,2.27,10,11
1/4/2020 14:00,36163.59,12.78,7.6,1.34,2.11,10,13
1/4/2020 15:00,36163.63,12.78,10.65,2.68,2.15,9.9,3
1/4/2020 16:00,36163.67,11.67,10.06,4.47,2.36,9.81,0
1/4/2020 17:00,36163.71,11.11,10.17,1.79,1.43,9.71,0
1/4/2020 18:00,36163.76,10.56,10.25,0.45,4.97,9.61,0
1/4/2020 19:00,36163.8,9.44,9.14,0,4.87,9.52,0
1/4/2020 20:00,36163.84,10,9.54,1.34,0.02,9.42,0
1/4/2020 21:00,36163.88,8.89,8.12,2.68,0.09,9.32,0
1/4/2020 22:00,36163.92,10,7.74,2.24,0.12,9.23,0
1/4/2020 23:00,36163.97,11.67,2.32,3.13,1.06,9.67,2
1/5/2020 0:00,36164,10,7.57,1.79,0.87,9.03,0
1/5/2020 1:00,36164.04,10,8.08,0.89,0.51,8.94,0
1/5/2020 2:00,36164.08,8.89,6.13,1.79,1.13,8.84,0
1/5/2020 3:00,36164.13,9.44,7.02,0.89,2.93,8.74,0
1/5/2020 4:00,36164.17,8.89,6.82,0.45,2.15,8.65,0
1/5/2020 5:00,36164.21,8.89,7.81,0.45,4.97,8.55,0
1/5/2020 6:00,36164.25,8.33,7.73,0.89,1.66,8.45,0
1/5/2020 7:00,36164.29,7.78,6.22,1.79,1.1,8.36,11
1/5/2020 8:00,36164.34,9.44,7.7,0.89,2.09,8.26,62
1/5/2020 9:00,36164.38,11.11,7.57,1.34,1.38,8.16,164
1/5/2020 10:00,36164.42,11.11,6.6,1.34,3.42,8.07,156
1/5/2020 11:00,36164.46,11.67,5.9,2.24,2.32,7.97,286
1/5/2020 12:00,36164.5,13.33,7.93,3.13,2.65,7.87,313
1/5/2020 13:00,36164.55,12.78,7.6,1.34,3.47,9.37,203
